Id,Date,Title,Short Description
662201,2023-08-20,Adobe co-founder John Warnock dies at 82,"Photoshop maker Adobe's co-founder John Warnock died on Saturday aged 82, the company said in a statement early on Sunday."
662213,2023-08-20,Adobe's co-founder John Warnock dies at 82,"Adobe's co-founder John Warnock died on Saturday, the company said in a statement on Sunday. (Reporting by Nilutpal Timsina in Bengaluru Editing by David Goodman)"
650392,2023-07-24,"Adobe's Figma deal faces full-scale EU antitrust probe, sources say","Adobe's $20 billion bid for cloud-based designer platform Figma will face a full-scale EU antitrust investigation following EU regulators' preliminary review, people familiar with the matter said on Monday."
645632,2023-07-13,UK regulator refers Adobe's $20 bln buyout of Figma to phase 2 probe,Britain's antitrust regulator on Thursday referred Adobe's $20 billion buyout of cloud-based designer platform Figma to an in-depth probe saying the Photoshop owner informed the regulator that it would not offer any remedies to ease its concerns.
645633,2023-07-13,UK regulator refers Adobe's $20 bln buyout of Figma to phase 2 probe,Britain's antitrust regulator on Thursday referred Adobe's $20 billion buyout of cloud-based designer platform Figma to an in-depth probe after the Photoshop owner failed to offer undertakings to ease the regulator's concerns.
640810,2023-07-03,"EU antitrust regulators set Aug. 7 deadline for Adobe, Figma deal","EU antitrust regulators will decide by Aug. 7 whether to clear Adobe's $20 billion bid for cloud-based designer platform Figma after a preliminary review, according to a European Commission filing on Monday."
639665,2023-06-30,UK regulator may refer Adobe's $20 bln Figma deal to deeper probe,"Britain's competition regulator on Friday said Photoshop owner Adobe Inc's $20 billion buyout of cloud-based designer platform Figma may be referred to a deeper investigation as it could ""reduce innovation""."
633998,2023-06-20,BRIEF-Adobe&rsquo;s $20 Bln Deal To Acquire Figma Under Threat From EU Investigation - FT,* ADOBE&rsquo;S $20BN DEAL TO ACQUIRE FIGMA UNDER THREAT FROM EU INVESTIGATION - FT Source text : https://on.ft.com/3NC2SSD
632369,2023-06-15,Adobe tops quarterly results and forecast estimates driven by AI,Adobe Inc surpassed Wall Street estimates for quarterly results and forecast on Thursday as the Photoshop maker's efforts to drive up demand with generative artificial intelligence (AI) integrations paid off.
628408,2023-06-08,"Adobe pushes Firefly AI into big business, with financial cover","Adobe Inc said on Thursday it will offer Firefly, its artificial intelligence tool for generating images, to its large business customers, with financial indemnity for copyright challenges involving content made with the tools."
628364,2023-06-08,"Adobe pushes Firefly AI into big business, with financial cover","Adobe Inc said on Thursday it will offer Firefly, its artificial intelligence tool for generating images, to its large business customers, with financial indemnity for copyright challenges involving content made with the tools."
617018,2023-05-23,Adobe adds generative AI features to Photoshop software,"Adobe Inc on Tuesday said it is adding artificial intelligence (AI) technology for generating imagery into Photoshop, its flagship software for editing images."
609821,2023-05-03,Adobe's $20 billion Figma buyout deal under UK competition watchdog scanner,"Britain's competition watchdog said on Wednesday it was looking into Adobe Inc's $20 billion buyout deal for cloud-based designer platform Figma to find if it could lead to ""substantial lessening of competition"" in the country."
609832,2023-05-03,"BRIEF-Adobe Says Continuing To Engage With DOJ, CMA, EC On Figma Deal ","* ADOBE SAYS CONTINUING TO ENGAGE WITH DOJ, CMA, EC IN PRODUCTIVE DISCUSSIONS ABOUT BUSINESSES, MARKETS, POSITIVE ECONOMIC IMPACTS FIGMA DEAL WILL BRING Further company coverage:"
