Id,Date,Title,Short Description
731393,2024-02-26,"Citi hires banking head from JPMorgan, prompting reshuffle of bosses","Citigroup appointed Viswas Raghavan from JPMorgan Chase as its new head of banking, prompting a wave of changes at his previous firm just weeks after he was promoted."
729953,2024-02-20,Citigroup raises CEO Jane Fraser's 2023 pay by 6% to $26 million,"Citigroup increased Chief Executive Officer Jane Fraser's compensation by about 6% to $26 million for 2023, the lender said in a filing on Tuesday."
728068,2024-02-13,"Citi may need to refocus on regulatory fixes amid restructuring, analysts say","Citigroup may need to prioritize fixing regulatory issues amid its global reorganization efforts, analysts at J.P.Morgan wrote in a note."
727603,2024-02-12,"Exclusive: Citi hit by new Fed rebuke, setbacks on consent orders","U.S. regulators have asked Citigroup for urgent changes to the way it measures default risk of its trading partners and the bank&#8217;s own auditors have found a plan to improve internal oversight to be lacking, developments that could hinder CEO Jane Fraser's plans to revive the bank's fortunes."
723701,2024-01-30,Citibank sued by New York over alleged failure to reimburse fraud victims,"New York state's attorney general's office said on Tuesday said it had sued Citibank for allegedly failing to protect customers from electronic fraud and reimburse victims, which it said had cost customers in the state millions of dollars."
722196,2024-01-24,Citigroup's laid-off employees in New York to be paid through April,"Some Citigroup employees who are being laid off this week in New York, part of one of the biggest job reductions at a bank since the financial crisis, are expected to be paid salaries through April, two sources with knowledge of the matter said."
720277,2024-01-12,"Citigroup sees headcount dropping 20,000 by 2026","Citigroup's Chief Financial Officer Mark Mason said on Friday the bank expects its headcount to be down roughly 20,000 by 2026."
720270,2024-01-12,"Citi to cut 20,000 jobs through 2026, swings to $1.8 billion loss","Citigroup will cut 20,000 jobs over the next two years, the bank said on Friday after reporting a $1.8 billion loss for the fourth quarter."
719628,2024-01-10,"Citigroup outlines $3.8 billion in charges, reserve build","Citigroup said it will book about $3.8 billion in combined charges and reserve builds when it reports fourth-quarter earnings on Friday, according to a filing on Wednesday."
715629,2023-12-14,Citigroup closes municipal underwriting and market-making unit- memo,"Citigroup has decided to close its municipal underwriting and market-making activities, according to a memo seen by Reuters."
715163,2023-12-13,New Zealand c.bank warns Citi's local unit over breach of international payments rule,The Reserve Bank of New Zealand (RBNZ) said on Thursday it had issued a formal warning to Citigroup's local unit for failing to provide sender information in international payment transfers to recipient banks.
715030,2023-12-13,Citigroup to pay bonuses for most of 2023 to workers laid off in reorganization -source,"Citigroup will pay laid off employees partial bonuses based on the period they worked this year, a person familiar with the situation said on Wednesday, as the bank undergoes a sweeping reorganization expected to be completed by March."
709325,2023-11-27,Citi bankers leave for Jefferies as municipal banking department in turmoil -Bloomberg News,"A team of bankers focused on healthcare at Citigroup has left for rival Jefferies Financial after the firm's executives mulled closing the municipal banking department altogether, Bloomberg News reported on Monday."
708274,2023-11-22,Citigroup asks employees to speak up about inappropriate behavior,"A top Citigroup executive asked employees to speak up if they see inappropriate behavior after a managing director sued the company this week, alleging she was sexually harassed by a manager in equities."
708054,2023-11-22,Citi makes new appointments in Asia Pacific as part of restructuring,"Citigroup has made new appointments in Asia Pacific following a sweeping global reorganization the U.S. bank announced on Monday, according to a person with direct knowledge of the matter."
707634,2023-11-20,Citigroup managing director sues over sexual harassment,Citigroup was sued on Monday by a managing director who said a former top equities banker subjected her to sexual harassment and abuse including death threats.
707509,2023-11-20,"Citigroup CEO announces management changes, 'difficult' decisions","Citigroup CEO Jane Fraser announced the next layer of management changes in a sweeping reorganization, according to a memo to staff on Monday."
707435,2023-11-20,Citi shuffles bosses in 'difficult' management overhaul,"Citigroup CEO Jane Fraser and top executives announced the next layer of leadership changes as part of a sweeping reorganization on Monday, according to memos to staff seen by Reuters and sources familiar with the situation."
707059,2023-11-17,"Citigroup employees expect management reshuffle, layoffs on Monday -sources","Citigroup employees expect announcements about management changes and layoffs on Monday in the next phase of the bank&rsquo;s sweeping reorganization, according to four people familiar with the situation."
706128,2023-11-15,MOVES-Citigroup names Jonathan Lofthouse as co-chief information officer replacing Stuart Riley,"Citigroup named Jonathan Lofthouse as its co-chief information officer to replace Stuart Riley, who has decided to leave the bank after 14 years, according to a memo seen by Reuters on Wednesday."
706129,2023-11-15,MOVES-Citigroup names Jonathan Lofthouse as co-chief information officer replacing Stuart Riley,"Citigroup named Jonathan Lofthouse as its co-chief information officer to replace Stuart Riley, who has decided to leave the bank, according to a memo seen by Reuters on Wednesday. (Reporting by Tatiana Bautzer Editing by Chris Reese)"
702157,2023-11-08,MercadoLibre bags $466 mln from Citi to expand credit offering,"MercadoLibre said on Wednesday it has obtained a $466 million financing line from Citigroup to expand its credit offering to customers, small and medium enterprises in Brazil and Mexico."
702083,2023-11-08,BRIEF-Citigroup apologizes for treatment of card applicants of Armenian descent,Citigroup says it regrets and apologizes for having taken impermissible actions against credit card applicants of armenian descent Citigroup says it is unacceptable to base credit decisions on national origin
701941,2023-11-08,Citigroup to pay $25.9 mln for targeting Armenian-American card applicants,Citigroup Inc agreed to pay $25.9 million to settle U.S. Consumer Financial Protection Bureau charges it intentionally discriminated against credit card applicants who the bank identified as Armenian-American based on their last names.
701005,2023-11-07,MOVES-Citi Greater China ECM head Bruce Wu retiring by year-end - memo,"Citigroup's Greater China head of equity capital markets (ECM) Bruce Wu is retiring from the bank at the end of the year after serving in the role for over a decade, according to a memo reviewed by Reuters on Tuesday."
700586,2023-11-06,Citigroup considering at least 10% job cuts in major businesses - CNBC,"Citigroup's managers and consultants working on CEO Jane Fraser's reorganization have discussed job cuts of at least 10% in several major businesses, CNBC reported on Monday, citing people with knowledge of the process."
699951,2023-11-03,MOVES-Citigroup's head of commods strategy Ed Morse leaves -memo,"Ed Morse, Citigroup's global head of commodities strategy and a veteran oil analyst, is leaving the bank after 12 years, according to an internal memo seen by Reuters on Friday."
699825,2023-11-03,Citi weighs shutting municipal-bond trading business - Bloomberg News,"Citigroup Chief Executive Officer Jane Fraser is weighing whether to shutter the bank's municipal-bond trading and origination business, Bloomberg News reported on Friday."
699741,2023-11-03,Citi weighs shutting municipal-bond trading business - Bloomberg News,"Citigroup Chief Executive Officer Jane Fraser is weighing whether to shutter the bank's municipal-bond trading and origination business, Bloomberg News reported on Friday."
695335,2023-10-26,Federal Reserve Board ends currency trading-tied enforcement action on Citigroup,"The Federal Reserve Board on Thursday ended the enforcement action on Citigroup from 20	15 that required the lender to revamp its risk management practices, sending the shares of the lender up 2.1% in morning trading."
695363,2023-10-26,Federal Reserve Board terminates enforcement action with Citigroup,Federal Reserve Board on Thursday announced the termination of enforcement action with Citigroup . (Reporting by Manya Saini in Bengaluru; Editing by Arun Koyyur)
695342,2023-10-26,Citi names Nancy Bertrand private bank head for Canada- memo,"Citigroup Inc has named Nancy Bertrand as the head of its private bank in Canada, succeeding Bob McGuire who retired earlier this month, according to a memo seen by Reuters on Thursday."
688535,2023-10-13,"Citigroup profit beats estimates on investment banking boost, shares rise",Citigroup's profit was broadly steady and beat third-quarter estimates on Friday as it benefited from a surge in trading revenue and investment banking fees.
688561,2023-10-13,Citigroup profit holds steady as investment banking fees jump,"Citigroup's profit was broadly steady in the third quarter, fueled by rising interest payments and surging investment banking fees."
