Id,Date,Title,Short Description
730097,2024-02-21,Google brings Gemini AI models to enterprise tools,"Google said on Wednesday that some of its artificial intelligence tools that it offers to businesses will be powered by the company's ""Gemini"" AI models and available at a lower-priced plan as it looks to compete with Microsoft-backed OpenAI."
730107,2024-02-21,Google releases 'open' AI models after Meta,"Google on Wednesday released new artificial intelligence (AI) models that outside developers potentially can fashion as their own, following a similar move by Meta Platforms and others."
728888,2024-02-16,Exclusive: Google to launch anti-misinformation campaign ahead of EU elections,"Google is preparing to launch an anti-misinformation campaign across five countries in the European Union (EU), the company told Reuters ahead of the bloc's parliamentary elections and tougher new rules tackling online content."
728642,2024-02-15,Google touts AI to vet troves of content in seconds; CEO predicts profit,"Reading ""War and Peace,"" Leo Tolstoy's monumental novel that runs half a million words long and often over 1,000 pages, might be a minute-long affair for a new artificial intelligence model from Google ."
728254,2024-02-14,Google to set up new artificial intelligence (AI) hub in France,"Google is setting up a new hub in France dedicated to the artificial intelligence (AI) sector, which will be inaugurated on Thursday, said a statement from the French Finance Ministry."
728262,2024-02-14,Google to share oil and gas methane leaks spotted from space,Google and environmental group Environmental Defense Fund on Wednesday unveiled a partnership to expose sources of climate-warming emissions from oil and gas operations that will be detected from space by a new satellite.
726756,2024-02-08,"Google rebrands Bard chatbot as Gemini, rolls out paid subscription","Google on Thursday renamed its Bard chatbot after the new artificial intelligence that is powering it, called Gemini, and said consumers can pay for better reasoning capabilities as it vies with Microsoft to win subscriptions."
726762,2024-02-08,HSBC partners with Google to hit $1 bln climate tech finance goal,"Britain's biggest bank HSBC has partnered with Google to finance fast-growing climate technology firms behind some of the world's most promising solutions to global climate change, executives from both firms told Reuters."
726013,2024-02-06,Google to pay $350 million to settle shareholders' data privacy lawsuit,Google agreed to pay $350 million to settle a lawsuit by shareholders related to a security bug at its now-defunct Google+ social media website.
725769,2024-02-06,Alphabet is seeking outside investment for its GFiber internet business,"Alphabet plans to seek external investment for GFiber, its business selling Wi-Fi and internet connectivity in parts of the United States, the company told Reuters on Monday, as it looks to ramp up its expansion to more cities."
724445,2024-02-01,Google signs its largest offshore power agreement with Dutch wind projects,"Technology giant Google has signed its largest ever power purchase agreement (PPA) with offshore wind projects off the coast of the Netherlands as part of efforts to green its power supply and hit climate targets, it said on Thursday."
723538,2024-01-29,Judge in Google antitrust lawsuit appoints former law partner to case,A trial lawyer at law firm Jackson Walker has been appointed to help resolve any disputes over evidence as Alphabet's Google fights a federal antitrust lawsuit brought by the state of Texas over its digital ad practices.
722470,2024-01-25,Google Cloud partners with Hugging Face to attract AI developers,The cloud computing arm of Alphabet Inc said on Thursday it had formed a partnership with startup Hugging Face to ease artificial intelligence (AI) software development in the company's Google Cloud.
721712,2024-01-17,Samsung to embed Google's generative AI tech in S24 smartphone series,"Samsung will deploy Google's generative artificial intelligence technology in its Galaxy S24 series smartphones that were unveiled on Wednesday, the companies said."
721710,2024-01-17,Google releases AI multisearch feature in US,Google on Wednesday rolled out an AI-powered feature in the United States that will allow users to search with an image and text simultaneously using their mobile phones.
719780,2024-01-11,"Google lays off hundreds in Assistant, hardware, engineering teams","Alphabet's Google said on Wednesday it is laying off hundreds of employees across multiple teams, with Fitbit co-founders James Park and Eric Friedman also leaving the company, as the tech giant continues to cut costs."
716715,2023-12-28,Google settles $5 billion consumer privacy lawsuit,Alphabet's Google has agreed to settle a lawsuit claiming it secretly tracked the internet use of millions of people who thought they were doing their browsing privately.
