Id,Date,Title,Short Description
606532,2023-04-19,IBM misses first-quarter revenue estimates as corporate IT spending shrinks,"IBM Corp missed Wall Street expectations for first-quarter revenue on Wednesday, hurt by shrinking corporate spending on IT services and a strong dollar."
606474,2023-04-19,"GlobalFoundries sues IBM, says trade secrets were unlawfully given to Japan's Rapidus ","Chip manufacturer GlobalFoundries Inc said on Wednesday it had filed a lawsuit against International Business Machines Corp , accusing it of unlawfully sharing confidential intellectual property and trade secrets."
583485,2023-01-25,"IBM to cut 3,900 jobs - Bloomberg News","International Business Machines Corp will cut 3,900 roles, or about 1.5% of its global workforce, its chief financial officer, James Kavanaugh, told Bloomberg News in an interview on Wednesday."
583478,2023-01-25,IBM reports highest annual revenue growth in a decade,IBM Corp on Wednesday reported its highest annual revenue growth in a decade and beat Wall Street expectations for the fourth quarter as more businesses looked to optimize their operations and save costs amid an economic downturn.
564169,2022-11-09,IBM launches its most powerful quantum computer with 433 qubits,"International Business Machines Corp on Wednesday said it launched its most powerful quantum computer to date called the Osprey, a 433-qubit machine that has three times the number of qubits than its Eagle machine announced last year."
558504,2022-10-19,IBM expects to exceed annual revenue target on resilient cloud momentum,IBM Corp beat quarterly revenue estimates on Wednesday and said it expects to exceed full-year revenue growth targets as robust demand for its digital services helps cushion the blow from a strong dollar.
554924,2022-10-06,Biden to tout IBM's $20 billion investment in New York over next decade,"President Biden on Thursday will tout IBM Corp's plans to invest $20 billion in New York over the next decade in development and manufacturing of semiconductors, mainframe technology, artifical intelligence and quantum computing."
534602,2022-07-18,"IBM beats quarterly revenue estimates, warns of $3.5 bln forex hit",IT hardware and services company IBM Corp beat quarterly revenue expectations on Monday but warned that the hit from forex for the year could be about $3.5 billion due to a strong dollar.
524319,2022-06-07,"IBM winding down Russian operation, laying off employees - memo","International Business Machines Corp is winding down its business in Russia and has started to lay off its employees in the country, according to a memo to staff sent last week and emailed to Reuters on Tuesday."
524254,2022-06-07,Story on IBM ceasing operations in Russia is withdrawn,A Reuters story quoting Russia's RIA Novosti as saying IBM will cease operations in Russia is withdrawn. IBM made the announcement on March 7. There will be no substitute story.
516104,2022-05-10,"For hype-wary IBM, quantum-computing sales are close, but not too close","IBM has set a new goal for propelling the legacy technology company ahead of its rivals: a quantum computer ready for commercial use, three years from now."
516158,2022-05-10,"IBM unsure how long it will keep Russia-based staff on payroll, CEO says","International Business Machines Corp is not sure how much longer it can pay its employees in Russia in light of escalating sanctions on the country, its chief executive told Reuters."
509128,2022-04-19,IBM forecasts upbeat 2022 revenue on cloud strength; flags Russia hit,"IBM said on Tuesday it expects to hit the top end of its revenue growth forecast for 2022 even as it accounted for a hit of a ""few hundred million dollars"" from the suspension of its business in Russia."
324163,2021-07-02,IBM's Jim Whitehurst to step down as president,"International Business Machines Corp (IBM.N) said on Friday President Jim Whitehurst, who played a major role in Big Blue's $34 billion acquisition of Red Hat two years ago, will step down from his position."
305228,2021-06-24,"IBM explores AI tools to spot, cut bias in online ad targeting","IBM Corp (IBM.N) is developing tools that would ensure online advertising algorithms do not unfairly show ads to only specific groups such as mostly men or wealthy people, aiming to address discrimination concerns that have drawn industrywide scrutiny."
309182,2021-06-08,GlobalFoundries seeks ruling in IBM contract dispute,"Semiconductor manufacturer GlobalFoundries on Monday sued International Business Machines Corp (IBM.N), asking a judge to rule that it did not violate a contract with the U.S. company which claims it is owed $2.5 billion in damages."
309211,2021-05-11,IBM to focus on AI and hybrid cloud in new chapter for Big Blue,"IBM (IBM.N) is rolling out innovations in artificial intelligence, hybrid cloud operations and quantum computing as the company that created the personal computer follows through on a roadmap it set out a year ago."
309214,2021-05-06,IBM unveils 2-nanometer chip technology for faster computing,"For decades, each generation of computer chips got faster and more power-efficient because their most basic building blocks, called transistors, got smaller."
217015,2021-04-19,IBM quarterly sales growth highest in over two years on cloud strength,"International Business Machines Corp (IBM.N) recorded highest quarterly sales growth in more two years and beat Wall Street targets on Monday, boosted by its bets in the high-margin cloud computing business."
245418,2021-04-12,IBM to name infrastructure services business 'Kyndryl' after spinoff,"International Business Machines Corp said on Monday its managed infrastructure services business would be called ""Kyndryl"" after a planned spinoff into a public company later this year."
217992,2021-04-01,German process mining startup Celonis teams up with IBM and Red Hat,"Celonis, a fast-growing German process mining software startup, has struck a strategic partnership with IBM to help companies make the most of the digital transformation that many are undergoing at speed."
219609,2021-03-04,"Moderna, IBM team up on COVID-19 vaccine distribution data",Vaccine maker Moderna Inc and IBM Corp said on Thursday they would work together on technologies to track COVID-19 vaccine administration.
222011,2021-01-21,IBM revenue disappoints as software sales mark rare decline,"IBM Corp missed Wall Street estimates for quarterly revenue on Thursday, hurt by a rare sales decline in its software unit as clients shied away from longer-term deals due to pandemic-induced economic uncertainty."
