Id,Date,Title,Short Description
722722,2024-01-26,Key executives at JPMorgan taking on new roles,JPMorgan Chase shuffled executives on Thursday to give them more experience running different businesses as Wall Street focuses on succession plans for CEO Jamie Dimon.
722629,2024-01-25,"JPMorgan shuffles top executives in investment bank, consumer unit","JPMorgan Chase shuffled executives in its investment banking and consumer units, broadening the experience of top leaders, according to a filing Thursday."
720312,2024-01-12,JPMorgan's annual profit surges to record even as Q4 net income dips,"JPMorgan Chase reported its best-ever annual profit and forecast higher-than-expected interest income for 2024, even as its quarterly profit fell."
712882,2023-12-12,"Exclusive: JPMorgan to outsource $500 bln custody business in Hong Kong, Taiwan - sources","JPMorgan Chase is set to outsource the operations of its local custody business in Hong Kong and Taiwan with Citigroup , HSBC and Standard Chartered in the race for the mandate, two sources with knowledge of the matter said."
712781,2023-12-11,Exclusive: JPMorgan begins First Republic makeover as it opens more branches,JPMorgan Chase is preparing to overhaul branches it acquired from failed First Republic Bank as the lender expands its formidable national footprint.
710408,2023-11-28,JPMorgan says its UK bank Chase may break even around 2025,JPMorgan Chase President and Chief Operating Officer Daniel Pinto said he expects its Chase UK consumer bank to break even in the next 12 to 18 months.
709222,2023-11-27,"JPMorgan to expand payments, corporate banking services in Abu Dhabi","JPMorgan said on Monday it is expanding its payments and corporate banking businesses in Abu Dhabi, the capital of the United Arab Emirates (UAE), after getting a nod from regulators."
704518,2023-11-13,JP Morgan ESG head Umunna calls for new green tech funding model,"Start-up firms in some parts of the green technology industry such as sustainable farming are missing out on capital and need a new funding model, a senior JP Morgan banker said on Monday."
704530,2023-11-13,JP Morgan ESG exec says green tech needs new funding model,"Start-up firms in the green technology industry are missing out on capital and need a new funding model, a senior JP Morgan banker said at a Reuters event on Monday."
702953,2023-11-09,US judge to weigh JPMorgan's $290 million settlement with Epstein accusers,"A U.S. judge on Thursday will weigh final approval of JPMorgan Chase's $290 million settlement with women who said Jeffrey Epstein abused them, and that the largest U.S. bank turned a blind eye to the late financier's sex trafficking."
695868,2023-10-27,JPMorgan CEO Dimon plans first stake sale in near 18-year tenure,JPMorgan Chase CEO Jamie Dimon will sell a portion of his stake in the bank in 2024 for the first time in his nearly 18-year long tenure at the company.
695905,2023-10-27,JPMorgan CEO Dimon to sell some of his stake in the bank in 2024,JPMorgan Chase said on Friday its CEO Jamie Dimon would sell a portion of his stock holdings in 2024 for financial diversification and tax-planning. (Reporting by Niket Nishant in Bengaluru; Editing by Shilpi Majumdar)
693449,2023-10-23,JPMorgan settlement with Epstein accusers draws objection from US states,"JPMorgan Chase's $290 million class-action settlement with Jeffrey Epstein's accusers has drawn an objection from many U.S. states, which say the accord could limit their ability to seek compensation for sexual abuse victims."
688539,2023-10-13,"JPMorgan profit beats estimates on record interest income, First Republic purchase",JPMorgan Chase beat expectations for third-quarter profit on Friday as a tighter monetary policy and the acquisition of failed First Republic Bank drove its interest income to a record high.
688199,2023-10-12,JPMorgan chief Dimon warns of 'ripple effects' from Middle East violence,"The conflict in the Middle East will have ""ripple effects that extend far beyond the region"", JPMorgan Chase's CEO Jamie Dimon warned in an internal memo to employees seen by Reuters."
685932,2023-10-09,JPMorgan asks 200 staff in Israel to work from home - source,"JPMorgan Chase has asked its staff in Israel to work from home for the near future, a person familiar with the matter told Reuters on Monday, after a surprise attack by Palestinian Islamist group Hamas set off a violent conflict between the two sides."
680252,2023-09-27,U.S. Treasury tasks JPMorgan with account validation for federal agencies,"The U.S. Treasury Department has designated JPMorgan to provide account validation services for federal government agencies, the investment bank said on Wednesday."
680283,2023-09-27,JPMorgan to provide account validation services for US government,U.S. banking giant J.P. Morgan said on Wednesday it has been designated by the United States Treasury Department under a financial agency agreement to provide account validation services for federal government agencies.
679950,2023-09-26,Exclusive-JPMorgan shuffles bosses as Rivas to retire as head of North American investment banking -memo,"JPMorgan Chase reorganized the leadership in its investment bank, promoting a new head in North America to succeed Fernando Rivas, who plans to retire, according to a memo seen by Reuters."
679885,2023-09-26,Exclusive: JPMorgan shuffles bosses as Rivas to retire as head of North American investment banking -memo,"JPMorgan Chase reorganized the leadership in its investment bank, promoting a new head in North America to succeed Fernando Rivas, who plans to retire, according to a memo seen by Reuters."
679783,2023-09-26,JPMorgan pays $75 million to settle lawsuit over Jeffrey Epstein ties,JPMorgan Chase agreed to pay $75 million to settle claims by the U.S. Virgin Islands that the bank aided in the disgraced financier Jeffrey Epstein's sex trafficking.
711564,2023-09-26,JPMorgan's UK bank Chase to ban crypto transactions,"JPMorgan's British retail bank Chase will ban crypto transactions made by customers from Oct. 16 due to an increase in fraud and scams, the company said on Tuesday."
679794,2023-09-26,UPDATE 1-JPMorgan's UK bank Chase to ban crypto transactions,"JPMorgan's British retail bank Chase will ban crypto transactions made by customers from Oct. 16 due to an increase in fraud and scams, the company said on Tuesday."
679724,2023-09-26,JPMorgan sees India in its top 3 fastest-growing Asia markets in 2024,"India could be among the three fastest growing markets for JPMorgan in the Asia Pacific region next year, alongside Australia and Japan, said a top official at the Wall Street bank."
679722,2023-09-26,JPMorgan's UK bank Chase to ban crypto transactions,"JPMorgan's British retail bank Chase will ban crypto transactions made by customers from Oct. 16, the company said in a statement on Tuesday, due to an increase in crypto-related fraud and scams."
678245,2023-09-22,"No volatility jump in Indian bonds after JPMorgan inclusion, says BlackRock","Indian bond markets won't see a jump in volatility in the near-term after JPMorgan announced India's inclusion in its widely tracked emerging market debt index, BlackRock's head of Asia Pacific fixed income said on Friday."
674969,2023-09-15,"Worst not over for Chinese property sector, JPMorgan investor survey shows","The worst of China's property crisis is not yet over, a survey of Chinese and international investors carried out by JPMorgan has shown."
