Id,Date,Title,Short Description
657337,2023-08-08,Lyft falls as fears of price war with Uber overshadow strong forecast,"Lyft signaled on Tuesday it would double down on competitive pricing to catch up with larger rival Uber, taking the shine off its strong earnings forecast and sending the company's shares down nearly 6% in extended trading."
657292,2023-08-08,Lyft falls as fears of price war with Uber overshadow strong forecast,"Lyft signaled on Tuesday it would double down on competitive pricing to catch up with larger rival Uber , taking the shine off its strong earnings forecast and sending the company's shares down nearly 8% in extended trading."
657338,2023-08-08,Lyft forecasts strong earnings as it banks on competitive pricing to chase down Uber,"Lyft forecast third-quarter revenue and adjusted core profit above estimates on Tuesday, as it bets on cost cuts and a post-pandemic rebound in ride-sharing demand to cushion the impact of a price war with bigger rival Uber."
650327,2023-07-24,Lyft considers options for bikes business after getting 'strong interest',"Lyft said on Monday it was exploring options for its bikes and scooters unit, including a sale or a strategic partnership, the latest move to help turn around the company that has fallen behind Uber in the North American ride-sharing market."
614740,2023-05-16,"Lyft says CFO Paul to step down, appoints replacement","Lyft Inc said on Tuesday Erin Brewer will replace chief financial officer Elaine Paul, who is leaving the ride hailing company months after a new CEO was appointed."
621658,2023-05-05,Lyft rattles Wall Street as margins suffer in race with Uber,Lyft Inc shares tumbled about 19% on Friday as the ride-hailing company's strategy to claw back market share from rival Uber with lower fares stoked concerns of a hit to its profit margins.
610581,2023-05-05,Lyft irks Wall Street with margin sacrifice in race with Uber,Lyft Inc shares tumbled 17% in premarket trading on Friday as the ride-hailing company's strategy to claw back market share from rival Uber with lower fares stoked concerns about a hit to its profit margins.
623806,2023-05-04,Lyft shares tumble as cheaper rides to hurt second-quarter margin,"Lyft Inc forecast a dull second quarter as price cuts in its race with bigger rival Uber to add more riders take a toll on margins, sending the shares of the ride hailing company down 14% in extended trading on Thursday."
610346,2023-05-04,"Lyft beats quarterly estimates as price cuts pay off, forecast disappoints","Lyft Inc's first-quarter revenue and core profit topped estimates on Thursday, benefiting from a strong ride-share demand and its move to cut prices to match larger rival Uber, but it forecast second quarter below expectations."
609294,2023-05-01,All eyes on Lyft's new CEO as Wall Street awaits turnaround plan,"Lyft Inc's revenue growth is likely to lag bigger rival Uber Technologies Inc for the sixth straight quarter, with Wall Street eagerly looking forward to a turnaround plan from its new CEO David Risher."
