Id,Date,Title,Short Description
720048,2024-01-11,Morgan Stanley nears deal to pay less than $500 mln to resolve trading probe -source,"Morgan Stanley is nearing a deal to pay less than $500 million to resolve a government probe into its handling of big stock sales, according to a source with knowledge of the matter."
719721,2024-01-10,Morgan Stanley promotes 155 employees to managing directors -source,"Morgan Stanley promoted 155 employees to become managing directors this year, fewer than its 2023 cohort of 184, said a person familiar with the situation who declined to be identified discussing personnel matters."
716400,2023-12-28,Morgan Stanley's straight-talking new CEO Ted Pick taking charge,"When Ted Pick takes over as the new CEO of Morgan Stanley next week, the three-decade bank veteran's frank manner and steady hand will help him steer the firm through a dealmaking slump."
716846,2023-12-22,Morgan Stanley's outgoing CEO says markets will take off after rate cuts- FT,"Morgan Stanley's outgoing CEO James Gorman said financial markets will ""take off"" once investors are sure the Federal Reserve has finished raising interest rates, the Financial Times reported on Friday."
707872,2023-11-21,Morgan Stanley's Andy Saperstein diagnosed with cancer - memo,"Morgan Stanley co-President Andy Saperstein has been diagnosed with cancer, he wrote in an internal memo seen by Reuters on Tuesday."
707510,2023-11-20,Morgan Stanley appoints Jed Finn as head of wealth management - memo,"Morgan Stanley has named Jed Finn as the head of its wealth management unit, according to an internal memo seen by Reuters on Monday."
704274,2023-11-13,"Morgan Stanley sees S&P 500 ending 2024 at 4,500","Morgan Stanley said on Monday it expects the S&P 500 to end 2024 at 4,500, and predicted earnings recovery through the year."
702401,2023-11-08,US Fed probes Morgan Stanley's international wealth-management practices - WSJ,"Morgan Stanley's wealth management is being scrutinized by the U.S. Federal Reserve, the Wall Street Journal reported on Wednesday citing people familiar with the matter."
699169,2023-11-02,Morgan Stanley&rsquo;s new CEO inherits rich pickings,"Ted Pick&rsquo;s appointment as chief executive of Morgan Stanley is Wall Street finance&rsquo;s equivalent of a chart-topping band working on a difficult second album. He inherits a firm that&rsquo;s generously valued by investors, amply profitable, and has only just fully digested two large acquisitions. When it comes to future deals, Pick has a tough act to follow. He also, though, has time."
697676,2023-10-31,Morgan Stanley may pay up to $1 bln to resolve US probe into private stock sales - Semafor,"Morgan Stanley may pay between $500 million and $1 billion to resolve a long-running U.S. probe into how it handled private stock sales, Semafor reported on Tuesday, citing people familiar with the matter."
697696,2023-10-31,Morgan Stanley may pay $1 bln to resolve US probe into private stock sales - Semafor,"Morgan Stanley may pay as much as $1 billion to resolve a long-running U.S. probe into how it handled private stock sales, Semafor reported on Tuesday. (Reporting by Niket Nishant in Bengaluru; Editing by Anil D'Silva)"
696161,2023-10-27,Morgan Stanley gives next CEO Ted Pick and two top execs $20 mln awards,"Morgan Stanley gave its next CEO Ted Pick and the other two contenders for the top job one-time awards worth about $20 million each, the bank said in a filing on Friday."
696113,2023-10-27,Morgan Stanley to pay one-time stock awards for its top three executives ,"Morgan Stanley on Friday disclosed it would pay one-time stock awards to three top executives, including incoming CEO Ted Pick."
694883,2023-10-26,"Morgan Stanley CEO shift pleases all, thrills none","Wall Street has served up its share of chaotic and ill-starred leadership transitions over the years. So the crushing conventionality of Morgan Stanley&rsquo;s new chief executive selection, announced late on Wednesday, is almost certainly the point."
694877,2023-10-26,"Morgan Stanley's Pick and Gorman talk succession, strategy and challenges",Morgan Stanley's current CEO James Gorman and incoming CEO Ted Pick spoke with Reuters about the company's leadership succession and strategy. Here are some quotes from the interview:
694780,2023-10-26,Five facts about Morgan Stanley's new CEO Ted Pick,"Morgan Stanley chose Ted Pick to succeed its longtime leader James Gorman as CEO, effective Jan. 1."
694773,2023-10-25,Morgan Stanley's 14 years under James Gorman: a timeline,"Morgan Stanley on Wednesday named insider Ted Pick as its next chief executive officer, replacing longtime leader James Gorman, who will become the investment bank's executive chairman."
694801,2023-10-25,TIMELINE-Morgan Stanley's 14 years under James Gorman: a timeline ,"Morgan Stanley on Wednesday named insider Ted Pick as its chief executive officer, replacing long-time leader James Gorman, who will become the investment bank's executive chairman. Here is a timeline of key events that shaped Gorman's almost 14-year tenure at the Wall Street..."
694778,2023-10-25,Morgan Stanley's Ted Pick to take helm as CEO from James Gorman,"Morgan Stanley's newly chosen CEO, insider Ted Pick, on Wednesday pledged to keep the bank focused on investment banking and wealth management as he takes the Wall Street powerhouse into a new era, succeeding veteran banker James Gorman."
694806,2023-10-25,Morgan Stanley names Ted Pick as CEO ,Morgan Stanley on Wednesday named Ted Pick as its new chief executive officer. (Reporting by Manya Saini in Bengaluru; Editing by Anil D'Silva)
690844,2023-10-18,Morgan Stanley profit beats on wealth management strength,Morgan Stanley's third-quarter profit dropped less than expected as a strong performance in the bank's wealth management division offset a hit from lethargic dealmaking.
690865,2023-10-18,Morgan Stanley profit shrinks as deal slump lingers,"Morgan Stanley's profit fell in the third quarter, dragged down by lethargic dealmaking."
683167,2023-10-03,Banks stocks back in vogue for hedge funds in September -Morgan Stanley,"Global hedge funds raced to load up on bullish positions in banks, insurance companies and capital markets as September drew to a close, Morgan Stanley said in a client note, catching a tailwind for the financial sector from higher interest rates."
676044,2023-09-18,"Morgan Stanley sued for $750 mln by lenders to rail line, who claim fraud",Morgan Stanley was sued on Monday for at least $750 million by private equity firms that claimed they were defrauded in an investment with a high-speed rail company.
670518,2023-09-07,Morgan Stanley to launch AI chatbot to woo wealthy,Wealthy clients going to a Morgan Stanley financial adviser to discuss their investments may have a different sort of experience in the future: having a chatbot listen to their conversation.
670561,2023-09-07,FOCUS-Morgan Stanley to launch AI chatbot to woo wealthy ,Wealthy clients going to a Morgan Stanley banker to discuss their investments may soon have a different sort of experience: having a chatbot listen to their conversation.
650448,2023-07-24,MOVES-Morgan Stanley hires Kagan from Citi for structured M&A -sources,"Morgan Stanley has hired Michael Kagan from Citigroup Inc to drive the bank's efforts on structured mergers and acquisitions (M&A), including spin-offs and separation deals, people familiar with the matter said on Monday."
648543,2023-07-19,Morgan Stanley and MUFG&rsquo;s next act is well-timed,A Wall Street stalwart and Japan&rsquo;s biggest bank by market value on Tuesday unveiled the second act of a 15-year alliance that has established itself as the envy of its peers. Morgan Stanley and the $94 billion Mitsubishi UFJ Financial are tapping deeper into a good thing at the right time.
648213,2023-07-19,Morgan Stanley moves 200 technologists out of China on data law - Bloomberg News,"Morgan Stanley is shifting more than 200 technology developers out of China after the country tightened access to cache of data stored onshore, Bloomberg News reported on Tuesday, citing people familiar with the matter."
647767,2023-07-18,Morgan Stanley profit drops 14% as deal drought persists,"Morgan Stanley's profit slipped 14% in the second quarter from a year earlier as a deal-making slump persisted, while trading in stocks and bonds weakened."
647800,2023-07-18,Morgan Stanley profit drops 18% as deal doldrums persist,Morgan Stanley's profit slipped 18% in the second quarter as Wall Street's deal-making drought stunted revenue from investment banking.
647779,2023-07-18,"MUFG, Morgan Stanley to deepen alliance, merge some Japan operations",Mitsubishi UFJ Financial Group (MUFG) and Morgan Stanley said on Tuesday they will deepen their 15-year old alliance by combining some operations at their Japanese brokerage joint ventures.
647654,2023-07-18,"UPDATE 1-MUFG, Morgan Stanley to collaborate on forex trading, Japan equity research",Mitsubishi UFJ Financial Group (MUFG) and Morgan Stanley said on Tuesday they will collaborate on foreign exchange trading and in the Japanese research and equity businesses for institutional clients.
647657,2023-07-18,"MUFG, Morgan Stanley to collaborate on forex trading, Japan equity research",Mitsubishi UFJ Financial Group and Morgan Stanley said on Tuesday they would collaborate on foreign exchange trading and in the Japanese research and equity businesses for institutional clients.
645170,2023-07-12,Morgan Stanley hires healthcare services banker Cohen from Truist,"Morgan Stanley has hired veteran investment banker Daniel Cohen from Truist Financial Corp , where he was the head of the firm's healthcare services advisory business, a person familiar with the matter said on Wednesday."
642368,2023-07-06,BRIEF-Morgan Stanley International Bank (China) Ltd Received Approval From Chinese Regulator To Open Derivative Trading Business In China,* MORGAN STANLEY: MORGAN STANLEY INTERNATIONAL BANK (CHINA) LTD RECEIVED APPROVAL FROM CHINESE REGULATOR TO OPEN DERIVATIVE TRADING BUSINESS IN CHINA (Reporting by Beijing Newsroom)
