Id,Date,Title,Short Description
702290,2023-11-08,Netflix unveils $70 million restoration of historic Hollywood theater,"The Egyptian Theatre, a historic movie house that hosted Hollywood's first film premiere a century ago, will re-open to the public this week after a multi-million-dollar restoration by Netflix ."
698365,2023-11-01,Netflix's ad tier reaches 15 million users a year after launch,"Netflix said on Wednesday its ad-supported tier had reached 15 million active users per month, a year after the streaming giant launched the cheaper plan to revive subscriber growth and revenue following a slowdown."
698334,2023-11-01,Netflix's ad tier reaches 15 million users a year after launch,"Netflix said on Wednesday its ad-supported tier had reached 15 million active users per month, a year after the streaming giant launched the cheaper plan to revive subscriber growth and revenue following a slowdown."
691530,2023-10-19,Netflix shares surge on big subscriber additions despite Hollywood strikes,"Streaming pioneer Netflix showed resilience by gaining more quarterly subscribers than in the past three years despite strikes by Hollywood's writers and actors, sending its shares up 14.5% on Thursday."
691583,2023-10-19,Netflix demonstrates its resilience during prolonged Hollywood strikes,"As most of Hollywood reels from the writers&rsquo; and actors&rsquo; strikes, streaming pioneer Netflix demonstrated resilience, the company said in its earnings report, gaining more subscribers in a single quarter than at any time in the past three years."
691225,2023-10-18,"Netflix, Skydance Animation strike multi-year film deal","Netflix has signed a multi-year agreement with Skydance Animation to develop animated feature films that will be released exclusively on Netflix, the streaming service said on Wednesday."
691268,2023-10-18,"Netflix, Skydance Animation strike multi-year film deal","Netflix has signed a multi-year agreement with Skydance Animation to develop animated feature films that will be released exclusively on Netflix, the streaming service said on Wednesday."
691133,2023-10-18,Netflix raises prices as it adds 9 million subscribers,"Netflix raised subscription prices for some of its streaming plans in the United States, Britain and France on Wednesday as it shattered new customer expectations, sending its shares soaring 10%."
691104,2023-10-18,Netflix raises prices as it adds 9 million subscribers,"Netflix raised subscription prices for some of its streaming plans in the United States, Britain and France on Wednesday as it shattered new customer expectations, sending its shares soaring 10%."
690326,2023-10-17,Golf-Netflix pairs PGA Tour stars with F1 drivers for live match play event,"Formula One drivers and PGA Tour golfers will compete next month in Netflix's first-ever live sports event when they face off in a match play golf tournament at Wynn Las Vegas, the streaming company said on Tuesday."
690384,2023-10-17,Netflix pairs PGA Tour stars with F1 drivers for live match play event,"Formula One drivers and PGA Tour golfers will compete next month in Netflix's first-ever live sports event when they face off in a match play golf tournament at Wynn Las Vegas, the streaming company said on Tuesday."
689551,2023-10-16,Netflix may tap price hikes after success of password-sharing crackdown,Netflix's crackdown on password-sharing likely boosted subscribers by about 6 million in the third quarter and the streaming pioneer is expected to set the stage for price increases when it reports earnings on Wednesday.
689520,2023-10-16,Netflix may tap price hikes after success of password-sharing crackdown,Netflix's crackdown on password-sharing likely boosted subscribers by about 6 million in the third quarter and the streaming pioneer is expected to set the stage for price increases when it reports earnings on Wednesday.
685913,2023-10-09,Netflix to end Kenyan free access plan after two years,"Netflix said on Monday it is ending its free mobile plan in Kenya, which has allowed users to access a quarter of its shows and movies without paying over the past two years."
683316,2023-10-03,Netflix plans to raise prices after actors' strike ends - WSJ,"Netflix is planning to raise the price of its ad-free service after the ongoing Hollywood actors' strike ends, the Wall Street Journal reported on Tuesday, sending the streaming company's shares up more than 3%."
683345,2023-10-03,Netflix plans to raise prices after actors strike ends - WSJ,"Netflix is planning to raise the price of its ad-free service after the on-going Hollywood actors strike ends, the Wall Street Journal reported on Tuesday. (Reporting by Yuvraj Malik in Bengaluru; Editing by Anil D'Silva)"
677176,2023-09-20,Netflix can be sued by ex-Central Park Five prosecutor for defamation,Netflix was ordered by a federal judge to face a defamation lawsuit by best-selling author and former Manhattan prosecutor Linda Fairstein over her portrayal in a 2019 crime drama about the Central Park Five case.
677059,2023-09-20,Netflix can be sued by ex-Central Park Five prosecutor for defamation,Netflix was ordered by a federal judge to face a defamation lawsuit by best-selling author and former Manhattan prosecutor Linda Fairstein over her portrayal in a 2019 crime drama about the Central Park Five case.
675574,2023-09-18,"S.Korean broadband firm, Netflix says ending all disputes over costs","South Korean internet service provider SK Broadband and Netflix Inc said on Monday they were ending all lawsuits with each other, having earlier been in dispute over whether Netflix should pay for costs from increased network traffic and maintenance work."
675591,2023-09-18,South Korean broadband firm says ending all disputes with Netflix,"South Korean Internet service provider SK Broadband said on Monday it is ending all disputes with Netflix Inc, after the firms engaged in lawsuits on whether Netflix must pay for costs from increased network traffic and maintenance work."
671507,2023-09-08,Netflix reappoints former ambassador Susan Rice to board,"Netflix Inc has reappointed former White House official and U.N. ambassador Susan Rice to its board of directors, the streaming service announced on Friday."
671493,2023-09-08,Netflix reappoints former ambassador Susan Rice to board,"Netflix Inc has reappointed former White House official and U.N. ambassador Susan Rice to its board of directors, the streaming service announced on Friday."
663659,2023-08-23,"Netflix signups remain high, fueled by password-sharing crackdown - data","Signups for Netflix in the United States remain elevated despite a fall from June's record high after the video-streaming pioneer's crackdown on shared passwords came into effect in May, according to data from research firm Antenna."
663691,2023-08-23,"Netflix signups remain high, fueled by password-sharing crackdown - data","Signups for Netflix in the United States remain elevated despite a fall from June's record high after the video-streaming pioneer's crackdown on shared passwords came into effect in May, according to data from research firm Antenna."
661798,2023-08-18,India's Jio launches Netflix subscription on prepaid plans,"Reliance Jio Infocomm, the telecom arm of Indian billionaire Mukesh Ambani's Reliance Industries, said on Friday it has launched a Netflix subscription on prepaid plans."
661795,2023-08-18,India's Reliance Jio launches Netflix subscription on prepaid plans,"Reliance Jio Infocomm said on Friday it has launched a Netflix subscription on prepaid plans, a move that could intensify competition among domestic telecom companies as well as help the video-streaming provider find other avenues to make money."
659838,2023-08-14,Netflix to make its games playable on more devices,"Netflix will test games on select TVs and computers in a first step to make them playable on more devices, the company's vice president of Games Mike Verdu wrote in a blog post on Monday."
659812,2023-08-14,Netflix to make its games playable on more devices,"Netflix will test games on select TVs and computers in a first step to make them playable on more devices, the company's vice president of Games Mike Verdu wrote in a blog post on Monday."
651537,2023-07-27,"Netflix reworks Microsoft pact, lowers ad prices - WSJ","Netflix is restructuring its advertising partnership with Microsoft for its lower-priced ad-supported subscription plan and is also cutting ad prices, the Wall Street Journal reported on Thursday."
648975,2023-07-20,Netflix falls as benefits from password-sharing crackdown to take time,Shares of Netflix tumbled more than 8% on Thursday after the video-streaming pioneer's lackluster revenue rise sparked concerns of a longer road to growth from its new initiatives.
648709,2023-07-19,"Netflix quarterly revenue misses forecasts, shares slide","Streaming video pioneer Netflix disappointed Wall Street on Wednesday with second-quarter revenue that fell short of analyst estimates, sending shares tumbling nearly 9% in after-hours trading."
648614,2023-07-19,Netflix scraps cheapest ad-free plan to boost ad-tier,"Netflix has removed its basic plan in the U.S. and UK in which users could watch shows and movies without commercials, as the company tries to draw more subscribers to its ad-supported tier."
