Id,Date,Title,Short Description
730754,2024-02-22,Nvidia identifies Huawei as top competitor for the first time in filing,"Nvidia identified Huawei as a top competitor in several categories, including artificial intelligence chips, for the first time in a filing with the Securities and Exchange commission late Wednesday."
730525,2024-02-22,"Nvidia has begun sampling two new AI chips for China market, says CEO","Nvidia is currently offering customers samples of its two new artificial intelligence chips aimed at the China market, its CEO Jensen Huang said, in a bid to defend its market dominance in the country now threatened by U.S. export curbs."
730421,2024-02-22,AI leader Nvidia rises as forecast tops Wall Street's lofty goals,"Nvidia shares climbed 12% before the bell on Thursday as booming demand for its AI chips helped the company forecast quarterly revenue much above Wall Street's lofty expectations, lifting AI and tech stocks globally."
730241,2024-02-21,Nvidia stock jumps as forecast tops first-quarter revenue estimates,"Chip designer Nvidia shares surged in after-hours trading on Wednesday after the company forecast revenue above estimates, banking on towering demand for its industry-leading artificial-intelligence chips."
729764,2024-02-20,Nvidia's surging growth may still disappoint some investors,"Nvidia is set to post a more than three-fold surge in its fourth-quarter revenue on Wednesday, the same as in the previous quarter, as demand for its chips that dominate the market for artificial intelligence outstrips supply."
728781,2024-02-15,"AI adoption increasing sales in telecoms sector, Nvidia report shows",Using artificial intelligence has already increased sales for around two thirds of the telecoms professionals surveyed for technology giant Nvidia .
728639,2024-02-15,AI firms surge after chip giant Nvidia discloses stake,"Shares of smaller AI firms rallied on Thursday after the world's most dominant artificial intelligence chipmaker, Nvidia, disclosed stake in them, offering clues on its growth strategy."
727141,2024-02-09,Exclusive: Nvidia chases $30 billion custom chip market with new unit -sources,"Nvidia is building a new business unit focused on designing bespoke chips for cloud computing firms and others, including advanced artificial intelligence processors, according to nine sources familiar with the company's plans."
724443,2024-02-01,Exclusive: Nvidia's new China-focused AI chip set to be sold at similar price to Huawei product,"Nvidia has started taking pre-orders for a new China-specific artificial intelligence (AI) chip from distributors who are pricing it on par with a rival product from Huawei, sources familiar with the matter said."
722062,2024-01-24,"Nvidia, Equinix team up to offer AI supercomputers to businesses",Data center operator Equinix and Nvidia said on Wednesday they had partnered up to offer the chip firm's supercomputing systems to corporate clients.
720673,2024-01-14,Exclusive: China's military and government acquire Nvidia chips despite U.S. ban,The graphic processing units built by Nvidia are seen as superior to rival products for AI work as they can more efficiently process huge amounts of data needed for machine-learning tasks.
718696,2024-01-08,Nvidia to launch China-focused AI chip in Q2 2024 - sources,"U.S. chipmaker Nvidia plans to begin mass production in the second quarter of 2024 of an artificial intelligence (AI) chip it designed for China to comply with U.S. export rules, two people familiar with the matter said on Monday."
716714,2023-12-29,Nvidia launches new gaming chip for China to comply with US export controls,U.S. chipmaker Nvidia on Thursday launched a modified version of an advanced gaming chip designed to comply with U.S. export controls targeting China.
714633,2023-12-11,US in talks with Nvidia about AI chip sales to China - Raimondo,The Biden administration is in discussions with Nvidia Corp about permissible sales of artificial intelligence chips to China but emphasized that it cannot sell its most advanced semiconductors to Chinese firms.
714522,2023-12-11,"Nvidia to expand ties with Vietnam, support AI development",U.S. chipmaker Nvidia's chief executive said on Monday the company will expand its partnership with Vietnam's top tech firms and support the country in training talent for developing artificial intelligence and digital infrastructure.
714466,2023-12-10,Nvidia CEO aims to set up a base in Vietnam,"Nvidia wishes to establish a base in Vietnam to develop the country's semiconductor industry as it considers the Vietnamese market an important one, the Vietnamese government said, citing the U.S. chipmaker's chief executive."
714235,2023-12-08,YTL Power to collaborate with Nvidia to build AI infrastructure in Malaysia,"Malaysian energy utility firm YTL Power International on Friday announced a collaboration with Nvidia Corp to build artificial intelligence (AI) infrastructure in Malaysia, with the first phase expected to be operational by mid-2024."
714233,2023-12-08,Nvidia set to discuss chip deals in Vietnam next week,"U.S. chip giant Nvidia will discuss cooperation deals on semiconductors with Vietnamese tech companies and authorities in a meeting on Monday in Hanoi, an invitation letter to participants seen by Reuters showed."
713874,2023-12-08,Nvidia to partner Malaysia's YTL Power in $4.3 bln AI development project,"Malaysian conglomerate YTL's utilities unit will partner with U.S technology giant Nvidia to develop artificial intelligence (AI) infrastructure in the Southeast Asian country, in a $4.3 billion investment deal."
709800,2023-12-04,Nvidia CEO says he will try to prioritise Japan for AI processors,Nvidia CEO Jensen Huang said on Monday his company would do its best to supply its artificial intelligence processors to Japan amid extremely high market demand.
708752,2023-11-24,"EU, Chinese, French regulators seeking info on graphic cards, Nvidia says","Regulators in the European Union, China and France have asked for information on Nvidia's graphic cards, with more requests expected in the future, the U.S. chip giant said in a regulatory filing."
708596,2023-11-24,Exclusive: Nvidia delays launch of new China-focused AI chip -sources,Nvidia has told customers in China it is delaying the launch of a new AI chip it designed to comply with U.S. export rules.
