Id,Date,Title,Short Description
669050,2023-09-05,"Qualcomm to supply BMW and Mercedes with chips for displays, voice features",U.S. semiconductor company Qualcomm on Tuesday said it will supply chips to power in-car infotainment systems to luxury automakers Mercedes and BMW .
666276,2023-08-29,Apple partner Globalstar taps former Qualcomm exec Jacobs as CEO,"Globalstar on Tuesday named former Qualcomm top boss Paul Jacobs as its CEO, sparking a near 20% surge in the shares of the satellite firm behind Apple's emergency communication services."
655581,2023-08-04,Qualcomm appoints insider Savi Soin to oversee India ops ,"Qualcomm on Friday named Savi Soin president of its India arm, as well as a company senior vice president, at a time when global players are increasing their focus on the South Asian country which has emerged as an innovation hub."
654834,2023-08-03,Qualcomm tumbles after signalling more pain from smartphone slump,Qualcomm tumbled nearly 9% on Thursday after a gloomy forecast signalled more pain for the largest maker of smartphone chips from the ongoing slump in the consumer electronics market.
654928,2023-08-03,Qualcomm tumbles after signalling more pain from smartphone slump,Qualcomm tumbled nearly 10% on Thursday after a gloomy forecast signalled more pain for the largest maker of smartphone chips from the ongoing slump in the consumer electronics market.
654468,2023-08-02,Qualcomm forecasts sales below estimates as smartphone slump persists,Qualcomm forecast fourth-quarter sales below market expectations on Wednesday and said it would likely cut jobs as consumer spending on gadgets like smartphones remained stubbornly weak amid slowing global economic growth.
654508,2023-08-02,Qualcomm forecasts dull fourth-quarter revenue on weak smartphone demand,Qualcomm forecast fourth-quarter revenue below market expectations on Wednesday as consumer spending on gadgets like smartphones remained stubbornly weak amid slowing global economic growth.
640003,2023-06-30,"Humane, a startup founded by ex-Apple execs, will use Qualcomm chips","Humane, the startup founded by ex-Apple Inc executives that raised $100 million earlier this year, said on Friday that it will use Qualcomm Inc's chips in its forthcoming wearable device."
639963,2023-06-30,"Humane, a startup founded by ex-Apple execs, will use Qualcomm chips","Humane, the startup founded by ex-Apple Inc executives that raised $100 million earlier this year, said on Friday that it will use Qualcomm Inc's chips in its forthcoming wearable device."
610838,2023-05-08,Qualcomm to acquire Israeli auto-chip maker Autotalks,"Chip designer Qualcomm Inc said on Monday it would buy Israel's Autotalks Ltd that makes chips used in technology aimed at preventing vehicle crashes, as the U.S. firm looks to deepen its automotive business."
610212,2023-05-04,Qualcomm amplifies chip gloom with 'sobering report',Qualcomm Inc's shares sank nearly 8% premarket on Thursday after the chip designer signalled it would take longer for its crucial smartphone market to rebound from a post-pandemic slump.
623617,2023-05-04,Qualcomm amplifies chip gloom with 'sobering report',Qualcomm Inc's shares sank 7% on Thursday after the chip designer signalled it would take longer for its crucial smartphone market to rebound from a post-pandemic slump.
623353,2023-05-03,Qualcomm outlook grim as smartphone sales stay weak,"Qualcomm Inc on Wednesday forecast third-quarter revenue and profit below Wall Street estimates, saying the smartphone industry would take longer to use up excess chips before fresh orders flow in."
609919,2023-05-03,Qualcomm sees dull third quarter on weak chip demand for smartphones,Qualcomm Inc forecast third-quarter revenue and profit below Wall Street estimates on Wednesday on worries it will take longer for the smartphone industry to exhaust the excess supply before fresh orders start flowing in.
605004,2023-04-13,S.Korea's top court tells Google to disclose user information sharing -report,"South Korea's top court on Thursday said Alphabet Inc's Google should disclose whether the technology giant had shared local user information with third parties, news agency Yonhap reported, sending the case back to a lower court."
603560,2023-04-05,"Qualcomm, Nvidia spar for top spot in AI chip efficiency tests","Artificial intelligence chips from Qualcomm Inc beat Nvidia Corp in two out of three measures of power efficiency in a new set of test data published on Wednesday, while a Taiwanese startup bested both in one category."
597361,2023-03-14,"Qualcomm spars with EU antitrust regulators over Huawei, ZTE rebates",Qualcomm on Tuesday criticised European Union antitrust regulators over their definition of rebates given to Chinese phone makers Huawei and ZTE in the second day of a court hearing aimed at overturning a 242-million-euro ($259 million) fine.
597022,2023-03-13,Qualcomm looks to Europe court again to overturn antitrust fine,"U.S. chipmaker Qualcomm returned to Europe's second-top court on Monday seeking to overturn a 242-million-euro ($258.4 million) EU antitrust fine, a year after it convinced the same court to throw out a much bigger penalty in another antitrust case."
596222,2023-03-10,China's state planner tells Qualcomm VP it will provide good business environment for MNCs,"A representative from China's National Development and Reform Commission (NDRC), the country's top planning agency, met with a VP from Qualcomm Inc on March 7 to discuss Qualcomm's business in China, according to an NDRC statement on Friday."
592794,2023-02-27,Camera chip startup Prophesee and Qualcomm sign multi-year deal,"Paris-based startup Prophesee, a maker of camera chips inspired by the way the human eye works, said on Monday it has signed a multi-year deal with Qualcomm Inc to be used with the smartphone technology giant's product."
592663,2023-02-27,"Qualcomm, Android phone makers developing satellite messaging feature",Qualcomm Inc on Monday said it was working with a group of Android smartphone companies to add satellite-based messaging capabilities to their devices.
591926,2023-02-23,Adobe signs chip supplier Qualcomm for marketing tech software,Adobe Inc said on Thursday it had signed a deal with semiconductor Qualcomm Inc as a customer for its cloud-based marketing software.
591162,2023-02-21,Qualcomm announces software business around its supply chain chips,Qualcomm Inc on Tuesday said it is launching a paid cloud software service to help companies that use its chips keep tabs on goods as they move through the supply chain.
585931,2023-02-02,Qualcomm forecasts earnings below expectations as smartphone demand worsens,"Qualcomm Inc forecast second-quarter revenue and profit below Wall Street estimates on Thursday, as the company grapples with weak demand for smartphones and a supply glut."
578221,2023-01-05,"Qualcomm, Iridium partner to bring satellite-based messaging to Android phones","Qualcomm Inc has partnered with Iridium Communications Inc to provide a satellite-based messaging service on premium smartphones running Google's Android operating system, the chipmaker said on Thursday."
578154,2023-01-05,"Qualcomm, Salesforce to build new connected vehicle platform for automakers","U.S. chip designer Qualcomm Inc and cloud-based software firm Salesforce Inc plan to develop a new connected vehicle platform for automakers, the companies said on Thursday."
562398,2022-11-02,Qualcomm forecasts earnings below estimates as smartphone market weakens,Smartphone chipmaker Qualcomm Inc forecast first-quarter revenue and profit below Wall Street estimates on Wednesday as its chip business was slammed by slowing demand for mobile phones in the face of surging prices globally.
554044,2022-10-03,Apple loses second bid to challenge Qualcomm patents at U.S. Supreme Court,WASHINGTON - The U.S. Supreme Court on Monday again declined to hear Apple Inc's bid to revive an effort to cancel three Qualcomm Inc smartphone patents despite the settlement of the underlying dispute between the two tech giants.
551169,2022-09-22,Chipmaker Qualcomm says automotive future business expands to $30 billion,"U.S. chip designer Qualcomm Inc on Thursday said its automotive business ""pipeline"" increased to $30 billion, up more than $10 billion since its third quarter results were announced in late July."
549689,2022-09-17,"New iPhones have Qualcomm satellite modem, new Apple radio chips","Apple Inc's iPhone 14 models contain a Qualcomm Inc chip that can talk to satellites, but have additional custom-designed Apple components used in the phone's biggest new feature, according to an analysis of the phone by iFixit and an Apple statement."
547628,2022-09-09,"EU regulators will not appeal Qualcomm ruling, ending saga","EU antitrust regulators confirmed on Friday that they would not appeal a court ruling scrapping its 997 million euro ($1 billion) fine against Qualcomm, drawing a line under a long-running saga."
545668,2022-09-02,"Meta, Qualcomm strike agreement on custom virtual reality chips","Meta Platforms Inc signed an agreement to have chip-maker Qualcomm Inc produce custom chipsets for its Quest virtual reality devices, the companies announced at a consumer electronics conference in Berlin on Friday."
545177,2022-08-31,"Arm sues Qualcomm, aiming to unwind Qualcomm's $1.4 billion Nuvia purchase","Chip technology firm Arm Ltd, which is owned by Softbank Group Corp, on Wednesday said it had sued Qualcomm Inc and Qualcomm's recently acquired chip design firm Nuvia Inc for breach of license agreements and trademark infringement."
545186,2022-08-31,Chips tech firm Arm sues Qualcomm and Nuvia for breach of license and trademark,"Chips technology firm Arm Ltd, which is owned by Softbank Group Corp, said on Wednesday it has sued Qualcomm Inc and its recently acquired chip design firm Nuvia Inc for breach of license agreements and trademark infringement."
544480,2022-08-29,EXCLUSIVE-EU will not appeal court ruling against $991 mln Qualcomm fine - sources ,"EU antitrust regulators will not appeal a ruling by Europe's second top court scrapping its 997-million-euro ($991 million) fine against U.S. chipmaker Qualcomm, people familiar with the matter said."
542398,2022-08-18,Qualcomm planning return to server market with new chip - Bloomberg News,"Qualcomm Inc is considering a return to the server market with a new chip in a bid to decrease its reliance on smartphones, Bloomberg News reported on Thursday, citing people familiar with its plan."
540010,2022-08-08,"Qualcomm, GlobalFoundries sign pact to double chip manufacturing","Qualcomm and GlobalFoundries signed an agreement on Monday to more than double their existing long-term manufacturing agreement for chips used in 5G transceivers, Wi-Fi, automotive and Internet of Things (IoT) connectivity."
537121,2022-07-27,Qualcomm warns of sales hit from cooling smartphone demand,"Qualcomm Inc forecast fourth-quarter revenue below Wall Street targets on Wednesday, bracing for a difficult economy and a slowdown in smartphone demand that could hurt its mainstay handset chip business."
537128,2022-07-27,Qualcomm revenue forecast disappoints on cooling smartphone demand,"Qualcomm Inc forecast fourth-quarter revenue below estimates on Wednesday, bracing for difficult economic conditions and a slowdown in smartphone demand that could hit its mainstay handset chips business."
529307,2022-06-27,U.S. Supreme Court won't hear Apple's bid to revive Qualcomm patent challenges,The U.S. Supreme Court on Monday declined to hear Apple Inc's bid to revive an effort to cancel two Qualcomm Inc smartphone patents despite the global settlement of the underlying dispute between the two tech giants.
526148,2022-06-15,EU court rejects $1 bln EU antitrust fine against Qualcomm,Europe's second top court on Wednesday scrapped a 997-million-euro ($1.05 billion) EU antitrust fine imposed on U.S. chipmaker Qualcomm four years ago for paying Apple to use only its chips and blocking out rivals such as Intel Corp.
513719,2022-05-03,VW embeds Qualcomm chips in autonomous driving software plans,"Volkswagen's Cariad on Tuesday said it will source chips from U.S. semiconductor maker Qualcomm to develop autonomous driving software, which the German carmaker has made the backbone of its future strategy."
511957,2022-04-27,Qualcomm forecasts upbeat revenue as diversification bet pays off,"Qualcomm Inc forecast third-quarter revenue above analyst expectations after beating second quarter revenue estimates on Wednesday, largely due its move to focus on the growing non-handset business to cushion a likely hit from slowing smartphone demand."
508070,2022-04-14,Automaker Stellantis to use Qualcomm tech in its vehicles,"Automaker Stellantis has signed a multiyear deal to use Qualcomm's next-generation connected-car technology in its vehicle lineup, the companies said on Thursday."
504515,2022-04-01,"J.P. Morgan drops Apple, Qualcomm from top picks as tech demand slows","Slowing demand for smartphones is likely to hit growth at Apple and chipmaker Qualcomm, analysts at J.P. Morgan said on Friday as they dropped the companies from the list of most preferred stocks."
499196,2022-03-16,Qualcomm stops selling products to Russian companies,Chipmaker Qualcomm Inc said on Wednesday it has stopped selling its products to Russian companies in compliance with U.S.-imposed sanctions after Moscow invaded Ukraine.
489017,2022-02-08,"Ferrari and Qualcomm team up for tech projects for road, racing cars","Ferrari said on Tuesday it would partner with Qualcomm Technologies to use the San-Diego based group's premium product, the Snapdragon chipsets, to accelerate the sports carmaker digital transformation."
316946,2021-07-01,Qualcomm's new CEO eyes dominance in the laptop markets,"Qualcomm Inc's (QCOM.O) new chief thinks that by next year his company will have just the chip for laptop makers wondering how they can compete with Apple Inc (AAPL.O), which last year introduced laptops using a custom-designed central processor chip that boasts longer battery life."
303432,2021-06-28,Qualcomm to work with more than 40 companies on faster 5G variant,Qualcomm Inc (QCOM.O) said on Monday it expects to work with more than 40 carriers and telecommunications gear providers that have committed to using the faster variant of 5G networking technology.
309188,2021-05-25,Arm challenges Intel with new tech aimed at laptops,Arm Ltd on Tuesday deepened its rivalry with Intel Corp (INTC.O) by releasing a batch of new chip technology aimed at grabbing more market share among laptop computers.
308395,2021-05-13,Samsung Elec raises non-memory chip investment to $151 bln through 2030,"Samsung Electronics Co Ltd (005930.KS) said on Thursday it would invest 171 trillion won ($151.10 billion) in non-memory chips through 2030, raising its previous investment target of 133 trillion won announced in 2019."
322427,2021-04-30,Factbox: U.S. tech giants in the EU antitrust crosshairs,Apple (AAPL.O) was charged by EU antitrust regulators on Friday of abusing its dominance in the music streaming market via restrictive rules in response to a complaint brought by Spotify Technology (SPOT.N). 
332057,2021-04-29,Vodafone joins forces with Qualcomm on Open-RAN development,Mobile operator Vodafone (VOD.L) and chipmaker Qualcomm (QCOM.O)  said they would join forces to develop a technical blueprint for telecoms equipment suppliers to use Open RAN (radio access network) technology.
332830,2021-04-28,"Qualcomm sees revenue, profits above estimates as supply chain improves","Qualcomm Inc (QCOM.O) on Wednesday forecast current-quarter sales and adjusted profits above Wall Street estimates, with executives saying they see supply constraints easing as smartphone buyers upgrade to 5G and former Huawei Technologies Co Ltd (HWT.UL) customers migrate to Qualcomm-chip phones."
251327,2021-04-28,"Dow, Nasdaq weighed down by Microsoft, Amgen; all eyes on Fed","The Dow and Nasdaq indexes fell on Wednesday as Amgen and Microsoft weighed, while investors focused on a Federal Reserve meeting for updates on monetary policy and waited for another batch of earnings from big technology firms."
332836,2021-04-27,"Arm details new data center chips, says Oracle, Alibaba will use them","Arm Ltd, the British chip technology firm being acquired by Nvidia Corp (NVDA.O) in a $40 billion deal, on Tuesday gave new details about its next generation of data center technology and said Oracle Corp (ORCL.N) and Alibaba Group Holding (9988.HK) will use the chips."
216882,2021-04-21,"Pfizer, unions, others donated $61.8 mln for Biden's inaugural","U.S. President Joe Biden raised $61.8 million for his inauguration events, receiving large contributions from corporations, labor unions and wealthy individuals, according to a financial disclosure."
253559,2021-03-30,"ECARX to launch 7nm auto chip with Arm China, to be built by TSMC -CEO","ECARX, an auto tech startup backed by Geely's chairman and Baidu, plans to supply products with 7 nanometer (nm) chip as early as next year through its joint venture with Arm China, its chief executive told Reuters."
218196,2021-03-29,U.S. trade regulator will not appeal Qualcomm case to Supreme Court,"The Federal Trade Commission said on Monday it would not ask the U.S. Supreme Court to review its appeals court loss against Qualcomm Inc, which the agency had accused of breaking antitrust law in selling chips for smartphones."
307427,2021-03-24,Japan urges support for fire-hit Renesas as global chip woes deepen,"Japan has called on equipment makers to help one of its biggest chipmakers restore production, the latest government move aimed at easing a semiconductor shortage that has hit production at car companies and is now pressuring makers of electronic devices."
254081,2021-03-23,Intel to spend $20 billion on U.S. chip plants as CEO challenges Asia dominance,Intel Corp (INTC.O) will greatly expand its advanced chip manufacturing capacity as the new chief executive announced plans to spend as much as $20 billion to build two factories in Arizona and open its factories to outside customers.
322494,2021-03-12,China's antitrust regulators weigh levying record fine on Alibaba - WSJ,"China's antitrust regulators are considering levying a record fine on Alibaba Group Holding Ltd (9988.HK),  over suspected anticompetitive behavior, the Wall Street Journal reported on Thursday, citing people familiar with the matter. "
219142,2021-03-11,Qualcomm struggles to meet chip demand as shortage spreads to phones: sources,"Qualcomm Inc is struggling to keep up with demand for its processor chips used in smartphones and gadgets, as a chip shortage that first hit the auto industry spreads across the electronics business, industry sources told Reuters."
255591,2021-03-05,Wall St Week Ahead Investors weigh how far tech stocks can slide after volatile week,"As U.S. technology shares stumble, investors are debating whether the decline is an opportunity to scoop up bargains or a sign of more pain to come for stocks that have led markets higher for years."
