Id,Date,Title,Short Description
558785,2022-10-20,AT&T's third-quarter profit rises on wireless subscriber additions,"U.S. wireless carrier AT&T Inc reported a 26% jump in third-quarter profit on Thursday, as more Americans opted for its wireless services and upgraded to 5G plans amid summer travel."
558502,2022-10-19,AT&T in talks with investors to expand fiber optics network - report,"AT&T Inc is in discussions to create a joint venture that would invest billions of dollars to expand its fiber-optic network, Bloomberg News reported on Wednesday, citing people familiar with the matter."
547400,2022-09-08,U.S. judge rejects AT&T bid to dismiss SEC lawsuit over leaks to analysts,A U.S. judge on Thursday rejected AT&T Inc's bid to dismiss a U.S. Securities and Exchange Commission lawsuit accusing it of giving some Wall Street analysts nonpublic information about the phone company's forthcoming financial results in early 2016.
535556,2022-07-21,AT&T lifts wireless service revenue growth forecast on strong subscriber additions,AT&T Inc on Thursday raised its forecast for annual revenue growth at its wireless service business on solid subscriber additions as more people travel during the summer and use the company's roaming services.
509826,2022-04-21,AT&T posts 2.5% rise in quarterly core wireless revenue,"AT&T Inc on Thursday posted a 2.5% rise in core wireless revenue for the first quarter, as the telecom giant benefited from the aggressive expansion of its fiber internet and 5G services."
497609,2022-03-11,AT&T eyes nearly $48 bln network investment in post-media company,"AT&T Inc expects to invest about $48 billion through the end of 2023 to expand its fiber internet and 5G wireless services, the U.S. wireless carrier said on Friday, as it detailed the vision for the business after unwinding its media assets."
324183,2021-06-30,AT&T to run core 5G network on Microsoft's cloud,Microsoft Corp (MSFT.O) and AT&T Inc (T.N) on Wednesday said that the carrier will run core parts of its 5G wireless network on Microsoft's cloud computing platform.
305289,2021-06-01,AT&T-Discovery media company to be called Warner Bros. Discovery,Discovery Inc (DISCA.O) said on Tuesday that the recently announced global entertainment and media business created with Discovery and WarnerMedia assets will be named Warner Bros. Discovery.
331942,2021-05-28,Smaller AT&T is lighter for mobile battle,"AT&T (T.N) Chief Executive John Stankey waved the white flag on one front so he could better fight a cutthroat battle on another. The decision to suddenly exit the media business in a deal that merges AT&T&rsquo;s WarnerMedia asset with Discovery (DISCA.O), announced last week, frees up resources to invest in 5G and pay down an onerous debt load. It sets AT&T up nicely for a better mobile fight."
306722,2021-05-27,AT&T WarnerMedia CEO Kilar says he will stay into 2022 -source,"Jason Kilar, chief executive of AT&T Inc's (T.N) WarnerMedia unit, said during an internal meeting on Thursday that he plans to remain in his role through this year and will reassess his options in 2022, according to a source familiar with the matter."
329189,2021-05-25,Capital Calls: LionTree on the prowl,Concise insights on global finance.
306434,2021-05-25,"After M&A boom via Zoom, dealmakers hit the road as COVID-19 subsides",Investment bankers' business of putting together mergers and acquisitions (M&A) has never been stronger. Neither has their fear of missing out on meeting clients.
331958,2021-05-24,Capital Calls: &ldquo;Friends&rdquo; reunion bookends AT&T too,Concise insights on global finance.
314311,2021-05-23,CNN drops former senator Rick Santorum after remarks on Native American culture,Former Republican U.S. senator Rick Santorum has been dropped as a senior political commentator by CNN after remarks he made about Native American culture drew criticism.
