Id,Date,Title,Short Description
701235,2023-11-07,Uber bets on holiday travel demand to forecast strong fourth quarter,"Uber Technologies forecast fourth-quarter adjusted core profit and gross bookings above market expectations on Tuesday, betting that the holiday season would boost demand for its ride-hailing and food-delivery services."
700589,2023-11-06,PREVIEW Lyft's gains from price cuts not enough to dent Uber's US lead,"Lyft's price cuts may have helped the ride-hailing firm make a small dent in Uber's U.S. market share, but not enough to prevent the bigger rival from reporting its second quarterly operating profit."
700674,2023-11-06,PREVIEW-Lyft's gains from price cuts not enough to dent Uber's US lead,"Lyft's price cuts may have helped the ride-hailing firm make a small dent in Uber's U.S. market share, but not enough to prevent the bigger rival from reporting its second quarterly operating profit."
699182,2023-11-02,Uber settles New York state claims related to unemployment benefits for drivers,"Uber Technologies has reached a settlement with the New York State Department of Labor to help ensure that eligible drivers and couriers can obtain unemployment benefits, New York Governor Kathy Hochul said on Thursday."
699157,2023-11-02,Uber settles New York state claims related to unemployment benefits for drivers,"Uber Technologies has reached a settlement with the New York State Department of Labor to help ensure that eligible drivers and couriers can obtain unemployment benefits, New York Governor Kathy Hochul said on Thursday."
699124,2023-11-02,Uber settles New York state claims related to unemployment benefits ,"Uber TEchnologies has reached a settlement with the New York State Department of Labor to resolve past and future unemployment insurance contributions on behalf of Uber and Uber Eats drivers, New York Governor Kathy Hochul said on Thursday."
699090,2023-11-02,"BRIEF-Uber, Lyft deny wrongdoing in settling with New York over driver wages","Lyft says it believes it has always properly classified drivers as independent contractors Uber confirms it has also settled with new york's attorney general, and that the settkement 'helps put to rest the classification issue' in the state Lyft says it expressly denies..."
699007,2023-11-02,"Uber, Lyft to pay $328 million to settle New York wage theft claims",Uber and Lyft will pay a combined $328 million to settle claims by New York's attorney general that the ride-sharing companies systematically cheated drivers out of pay and benefits.
698947,2023-11-02,"Uber, Lyft to pay $328 million to settle New York wage theft claims",Uber and Lyft will pay a combined $328 million to settle claims by New York's attorney general that the ride-sharing companies systematically cheated drivers out of pay and benefits.
699092,2023-11-02,"Uber, Lyft to pay $328 million to settle New York wage theft claims",Uber and Lyft will pay a combined $328 million to settle claims by New York's attorney general that the ride-sharing companies systematically cheated drivers out of pay and benefits.
681247,2023-09-28,"Uber, DoorDash lose bid to block NYC minimum wage for delivery workers","A New York state judge on Thursday rejected a bid by Uber Technologies Inc , DoorDash Inc and Grubhub Inc to block New York City's novel law setting a minimum wage for app-based delivery workers."
681192,2023-09-28,"Uber, DoorDash lose bid to block NYC minimum wage for delivery workers","A New York state judge on Thursday rejected a bid by Uber Technologies Inc, DoorDash Inc and other gig economy firms to temporarily block New York City's novel law setting a minimum wage for delivery workers. (Reporting by Daniel Wiessner in Albany, New York Editing by Chris..."
680544,2023-09-27,Uber names semiconductor executive Mahendra-Rajah as CFO,Uber Technologies on Wednesday named Analog Devices CFO Prashanth Mahendra-Rajah as its finance chief at a time when the ride-hailing company is gearing up for growing competition in the industry.
680585,2023-09-27,Uber names Prashanth Mahendra-Rajah as CFO,Uber Technologies on Wednesday named Analog Devices executive Prashanth Mahendra-Rajah as the ride-hailing company's chief financial officer. (Reporting by Deborah Sophia in Bengaluru; Editing by Shounak Dasgupta)
679631,2023-09-26,Uber partners with California taxi operators to boost supply,"Uber Technologies is partnering with Los Angeles Yellow Cab and its affiliates to increase the supply of taxis on the ride-hailing giant's platform, the company said on Tuesday."
677151,2023-09-20,"Uber Eats to roll out AI features, more payment options","Uber Technologies will accept more payment options on its food delivery platform and roll out an artificial intelligence (AI)-powered assistant to help users find deals and explore different food options, the company said on Wednesday."
674602,2023-09-15,Uber in delivery deal with restaurant software provider Deliverect,"Uber Technologies said on Friday it has agreed a delivery partnership with Deliverect, a Belgium-based company that sells order management software to restaurants."
674566,2023-09-15,Uber in delivery deal with restaurant software provider Deliverect,"Uber Technologies said on Friday it has agreed a delivery partnership with Deliverect, a Belgium-based company that sells order management software to restaurants."
674529,2023-09-14,Uber to appeal Brazil court's $205 million fine for irregular labor relations,Uber on Thursday said it rejected a ruling from a Brazilian labor court ordering the ride-hailing firm to pay 1 billion reais ($205 million) in fines for irregular working relations with the drivers on its app.
674498,2023-09-14,Uber to appeal Brazil court's $205 million fine for irregular labor relations,Uber on Thursday said it rejected a ruling from a Brazilian labor court ordering the ride-hailing firm to pay 1 billion reais ($205 million) in fines for irregular working relations with the drivers on its app.
670860,2023-09-07,Uber increasingly considering buybacks as cash flow ramps up - CEO,"Uber Technologies is considering buybacks and dividends to shareholders as its cash flow ramps up, CEO Dara Khosrowshahi said at an event on Thursday."
670838,2023-09-07,Uber increasingly considering buybacks as cash flow ramps up - CEO,"Uber Technologies is considering buybacks and dividends to shareholders as its cash flow ramps up, CEO Dara Khosrowshahi said at an event on Thursday."
667268,2023-08-31,"Uber rolls out electric bike fleet in Kenya, its first in Africa","Ride-hailing firm Uber on Thursday launched an electric motorbike service in Kenya, its first in Africa, as the company seeks to make its global platform emissions free by 2040."
667186,2023-08-31,"Uber rolls out electric bike fleet in Kenya, its first in Africa","Ride-hailing firm Uber on Thursday launched an electric motorbike service in Kenya, its first in Africa, as the company seeks to make its global platform emissions free by 2040."
653694,2023-08-01,Uber's finance chief to exit in January next year,Uber Technologies said on Tuesday Chief Financial Officer Nelson Chai will leave the ride-hailing company in January next year.
653589,2023-08-01,Uber's finance chief to exit in January next year,Uber Technologies said on Tuesday Chief Financial Officer Nelson Chai will leave the ride-hailing company in January next year.
653581,2023-08-01,Uber forecasts quarterly operating profit above estimates on ride-hailing demand,Uber Technologies on Tuesday forecast third-quarter operating profit above Wall Street expectations as it sees growing demand for ride hailing due to strong leisure travel trends and gradual return to in-office work.
653637,2023-08-01,Uber forecasts quarterly operating profit above estimates on ride-hailing demand,Uber Technologies on Tuesday forecast third-quarter operating profit above Wall Street expectations as it sees growing demand for ride hailing due to strong leisure travel trends and gradual return to in-office work.
647491,2023-07-17,Court rules against Uber in major win for California workers,"Uber must face a lawsuit claiming it should have covered UberEats drivers' work-related expenses, the the state's top court said."
644992,2023-07-12,Domino's to allow food orders through Uber's delivery apps,"Domino's Pizza customers can order its products through Uber's Uber Eats and Postmates apps, the pizza chain said on Wednesday, in a bid to boost sales amid a slowing delivery business."
645054,2023-07-12,"Domino's says it is partnering with Uber for pizza orders, delivery",Domino's Pizza on Wednesday said it had entered into a new global agreement with Uber that will allow customers to order Domino's products through Uber's food delivery apps. (Reporting by Granth Vanaik in Bengaluru; Editing by Janane Venkatraman)
644102,2023-07-10,Britain's Waitrose joins forces with Uber Eats for rapid delivery,"British upmarket supermarket group Waitrose has teamed up with rapid delivery firm Uber Eats to provide its groceries to shoppers' homes in as little as 20 minutes, the companies said on Tuesday."
644080,2023-07-10,Uber CFO Nelson Chai plans to step down - Bloomberg News,"Uber Technologies Chief Financial Officer Nelson Chai is planning to leave the ride-hailing company, Bloomberg News reported on Monday, citing people familiar with the matter."
644120,2023-07-10,Uber CFO Nelson Chai plans to step down - Bloomberg News,"Uber Technologies Chief Financial Officer Nelson Chai is planning to leave the ride-hailing company, Bloomberg News reported on Monday, citing people familiar with the matter. (Reporting by Yuvraj Malik in Bengaluru; Editing by Shounak Dasgupta)"
642379,2023-07-06,"Uber, DoorDash sue New York City over minimum wage law","Uber Technologies Inc , DoorDash Inc and other app-based food delivery companies filed lawsuits on Thursday seeking to strike down New York City's novel law setting a minimum wage for delivery workers."
635222,2023-06-21,Uber to lay off 200 employees in recruitment division,Uber Technologies said on Wednesday it was cutting 200 jobs in its recruitment division amid plans to keep the staff count flat through the year and streamline costs.
635171,2023-06-21,Uber to lay off 200 employees in recruitment division,Uber Technologies said on Wednesday it was cutting 200 jobs in its recruitment division amid plans to keep the staff count flat through the year and streamline costs.
631849,2023-06-15,"Uber to cease food delivery in Italy, exit Israel","Uber said on Thursday it will shut its food delivery business in Italy and exit Israel, where it has not built sufficient market share."
631796,2023-06-15,"Uber to cease food delivery in Italy, exit Israel","Uber said on Thursday it will shut its food delivery business in Italy and exit Israel, where it has not built sufficient market share."
630486,2023-06-13,"New Delhi city to impound bike taxis if Uber, Ola do not comply with ban","New Delhi city authorities will start impounding the bike taxis of companies such as Uber and local rival Ola if they do not cease operations in line with a court order backing a ban on them, a senior government official told Reuters on Tuesday."
629990,2023-06-12,India's top court backs Delhi ban on bike taxis in setback for Uber,India's top court on Monday backed a New Delhi city government ban on bike taxis in a setback for U.S. ride-hailing company Uber which had legally challenged authorities to continue offering the services.
630056,2023-06-12,India's top court backs Delhi ban on bike taxis in setback for Uber,India's top court on Monday backed a New Delhi city government ban on bike taxis in a setback for U.S. ride-hailing company Uber which had legally challenged authorities to continue offering the services.
628356,2023-06-08,Uber says green rides will enable customers to track CO2 savings,U.S. ride-hailing giant Uber said on Thursday that customers will soon be able to track emissions avoided when choosing greener rides and have the option of shared rides in more cities to further reduce CO2 emissions.
627427,2023-06-06,"Uber opens office for 1,000 more workers at Amsterdam headquarters","Uber said on Wednesday it has opened a new office with space for 1,000 additional workers in Amsterdam, where the company has its international headquarters."
627391,2023-06-06,"Uber opens office for 1,000 more workers at Amsterdam headquarters","Uber said on Wednesday it has opened a new office with space for 1,000 additional workers in Amsterdam, where the company has its international headquarters."
618249,2023-05-29,Uber executive says European taxis joining platform,"Uber is seeing an influx of European taxi drivers joining its platform, an executive told Reuters, a surprising development given the history of tensions between the company and the traditional taxi industry."
