Id,Date,Title,Short Description
602190,2023-03-30,US FAA awards Verizon $2.4 billion contract for telecom network infrastructure,The U.S. Federal Aviation Administration (FAA) said on Thursday it awarded Verizon Communications' business networking unit a contract worth up to $2.4 billion over 15 years as the agency looks to modernize its systems.
594292,2023-03-03,Verizon finance chief Matt Ellis to depart in top management rejig,"Verizon Communications Inc finance chief Matt Ellis will leave the wireless carrier in May, it said on Friday in a slew of senior leadership changes."
594296,2023-03-03,Verizon finance chief Matt Ellis to depart,Verizon Communications Inc said on Friday Chief Financial Officer Matt Ellis is leaving the company to pursue other interests. (Reporting by Yuvraj Malik in Bengaluru; Editing by Arun Koyyur)
583020,2023-01-24,"Verizon forecasts profit below estimates on slowdown worries, shares fall","Verizon Communications Inc's annual profit forecast fell short of Wall Street estimates on Tuesday, as it grapples with slowing growth in wireless customer sign-ups compared with last year and makes heavy investments in 5G technology."
583021,2023-01-24,Verizon quarterly wireless subscriber additions top estimates,"Verizon Communications Inc on Tuesday reported better-than-expected quarterly wireless subscriber additions, as its promotional plans attracted more customers and drove device upgrades during the holiday season."
559117,2022-10-21,Verizon profit drops 23% as pricier plans result in subscriber loss,"Verizon Communications Inc posted a 23% slide in third-quarter profit and missed market estimates for wireless subscriber additions on Friday, as several customers opted for cheaper plans from rivals AT&T Inc and T-Mobile US Inc."
540709,2022-08-11,Verizon's internet services down for thousands of users - Downdetector,"Verizon Communications Inc's internet services were down for thousands of users on Thursday, according to outage tracking website Downdetector.com."
535876,2022-07-22,Verizon cuts profit view as higher prices hit subscriber growth ,"Verizon Communications Inc on Friday cut its annual adjusted profit forecast after adding fewer-than-expected monthly bill-paying phone subscribers in the second quarter, a sign that red-hot inflation has begun impacting its business."
510283,2022-04-22,Verizon loses fewer-than-expected phone subscribers in first quarter,"Verizon Communications Inc lost fewer-than-expected monthly phone subscribers in the first quarter, a sign the wireless carrier is benefiting from its hefty investments in expanding 5G services and new broadband networks."
508709,2022-04-18,Verizon raises minimum wage to $20 an hour for U.S employees,"U.S. wireless carrier Verizon Communications Inc said on Monday it would raise the minimum wage of its new and existing customer service, retail and inside sales employees to $20 an hour amid a tight labor market and rising inflation."
499069,2022-03-16,Verizon secures contracts worth nearly $1 billion from U.S. defense department,Telecoms giant Verizon Communications Inc said on Wednesday it had secured new business worth almost $1 billion from the U.S. Department of Defense to provide technical support and network modernization services.
305837,2021-06-10,Verizon turns on commercial private 5G in U.S.,Verizon Business (VZ.N) on Thursday launched its first commercially available private 5G network in the U.S. to offer businesses and government departments high-speed indoor or outdoor connectivity.
313564,2021-05-24,Analysis: Google's Starline shows promise and perils of 3D chats,"Google's Project Starline 3D videoconferencing system, unveiled last week, is well-timed for a post-pandemic world but still has a long way to go in seamlessly marrying the in-person and the virtual, three people who have used the system say."
316455,2021-05-20,One million U.S. households sign up for broadband subsidy -FCC,"More than 1 million U.S. households have signed up to take part in a temporary $3.2 billion broadband subsidy program created by Congress in December, the Federal Communications Commission said on Thursday."
306937,2021-05-11,Tech giants join call for funding U.S. chip production,"Some of the world's biggest chip buyers, including Apple Inc (AAPL.O), Microsoft Corp (MSFT.O) and Alphabet Inc's (GOOGL.O) Google, are joining top chip-makers such as Intel Corp (INTC.O) to create a new lobbying group to press for government chip manufacturing subsidies."
332052,2021-05-03,Capital Calls: Apollo treads where Verizon flubbed,Concise insights on global finance.
319280,2021-05-03,"Verizon to offload Yahoo, AOL for $5 billion","Verizon Communications Inc (VZ.N) is getting rid of its media businesses that include iconic brands Yahoo and AOL for $5 billion, ending an expensive and unsuccessful run in the media and advertising world."
319289,2021-05-03,Analysis: Berkshire Hathaway faces headwinds as shareholders look to its future,"For some Berkshire Hathaway shareholders a list of post-pandemic challenges including looming inflation, a dearth of acquisitions and more environmental and social disclosure demands are prompting a rethink on Warren Buffett's conglomerate."
316550,2021-05-02,Apollo nears deal to buy Verizon's media assets - source,"Apollo Global Management Inc (APO.N) is close to buying the media assets of Verizon Communications Inc (VZ.N) in a deal that could be valued close to $5 billion, a source familiar with the matter told Reuters."
304045,2021-04-29,U.S. will launch $3.2 billion temporary broadband subsidy May 12,The Federal Communications Commission said it will launch on May 12 a temporary $3.2 billion program to provide lower-income Americans with discounts on monthly internet service and on purchasing laptops or tablet computers.
337059,2021-04-28,"Verizon explores sale of media assets, including Yahoo and AOL - WSJ","Verizon Communications Inc is exploring a sale of its media assets, including Yahoo and AOL, the Wall Street Journal reported on Wednesday, citing people familiar with the matter."
216803,2021-04-22,AT&T beats revenue estimates as reopening helps phone sales,AT&T Inc (T.N) beat Wall Street revenue targets as the reopening of the U.S. economy following pandemic-linked restrictions boosted smartphone sales and the media business.
216895,2021-04-21,"Dish gets Amazon on board to build 5G network, to launch in Las Vegas",Dish Network (DISH.O) on Wednesday signed a deal with Amazon (AMZN.O) to build its 5G network on Amazon Web Services' (AWS) cloud platform and said it will launch its first network in the United States in Las Vegas later this year.
216900,2021-04-21,Verizon loses more-than-expected wireless subscribers,Verizon Communications Inc (VZ.N) said on Wednesday it lost more wireless subscribers than expected during the first quarter as it battled intense competition from T-Mobile US Inc (TMUS.O) and AT&T Inc (T.N) to attract customers.
332076,2021-04-21,Music and tech team up to cut the milliseconds,"Musicians desperate to work together in harmony while kept apart by COVID-19 lockdowns have been collaborating with tech companies to shave milliseconds from delays on their online connections, driving innovations that will transcend music."
216944,2021-04-20,"5G spending in spotlight for AT&T, Verizon quarterly results","When AT&T Inc (T.N) and Verizon Communications Inc (VZ.N) report their first-quarter results this week, investors will look for clarity on capital spending and margin pressures as wireless carriers shell out billions to upgrade their networks to 5G."
