Id,Date,Title,Short Description
710984,2023-11-16,Higher billing rates drive US law firm growth as bonus season looms,"Large U.S. law firms are entering year-end bonus season after growing their revenues close to 5% on average through the third quarter, buoyed by fast-growing lawyer billing rates that have helped offset expenses, analysts at Wells Fargo said this week."
706600,2023-11-16,US regulators push Wells Fargo to improve financial crime monitoring - WSJ,"U.S. regulators are pushing Wells Fargo to improve its monitoring system to detect criminal activity at the bank, the Wall Street Journal reported on Thursday, citing people with knowledge of the matter."
705390,2023-11-14,Wells Fargo to cut less than 50 investment banker jobs - source,"Wells Fargo has let go of less than 50 bankers from its corporate and investment banking unit as part of year-end pruning, a source familiar with the matter said on Tuesday."
698146,2023-11-01,Wells Fargo's cash sweep feature faces SEC investigation,"Wells Fargo's cash sweep options for investment advisory clients is being investigated by the Securities and Exchange Commission (SEC), the bank disclosed in a regulatory filing."
688544,2023-10-13,Wells Fargo lifts interest income forecast as profit exceeds estimates,"Wells Fargo beat analysts' third-quarter profit estimates and raised its annual forecast for income from interest payments on Friday, as customers paid more to borrow."
687862,2023-10-12,Wells Fargo rolls out financial planning tool to almost 70 million customers,"Wells Fargo will expand access to a financial planning tool to its nearly 70 million customers after initially offering it to wealth clients earlier this year, the bank said on Thursday."
681923,2023-09-29,Wells Fargo sells $2 billion of private equity investments,Wells Fargo said on Friday it had sold about $2 billion of its private equity investments as the bank aims to sharpen focus on its core businesses.
681888,2023-09-29,Wells Fargo sells $2 bln of private equity investments,Wells Fargo said on Friday it had sold about $2 billion of its private equity investments to a group of buyers that included AlpInvest Partners and Lexington Partners. (Reporting by Niket Nishant in Bengaluru; Editing by Shounak Dasgupta)
679886,2023-09-26,Centerbridge teams up with Wells Fargo to launch direct-lending fund,"Private equity firm Centerbridge Partners is launching a direct-lending fund with backing from Wells Fargo , the companies said on Tuesday."
675065,2023-09-15,Former Wells Fargo executive avoids prison in fake-accounts scandal,The former head of Wells Fargo's retail bank on Friday avoided prison time after pleading guilty to an obstruction charge related to the bank's sweeping fake-accounts scandal.
675085,2023-09-15,Former Wells Fargo exec Tolstedt avoids prison time in fake-accounts scandal - WSJ,"A former Wells Fargo executive Carrie Tolstedt would not serve prison time for her role in the bank's fake-accounts scandal, the Wall Street Journal reported on Friday."
672918,2023-09-12,Wells Fargo CFO expects more layoffs ahead,"Wells Fargo could see its headcount decline further as it aims to improve efficiency, Chief Financial Officer Mike Santomassimo said on Tuesday."
670546,2023-09-07,Wells Fargo's William Daley to retire as vice chairman of public affairs,Wells Fargo said on Thursday that William Daley would retire as vice chairman of public affairs at the end of the year.
670552,2023-09-07,Wells Fargo vice chairman of public affairs Daley to retire ,"Wells Fargo said on Thursday the bank's vice chairman of public affairs, William Daley, will retire at the end of this year. (Reporting by Pritam Biswas in Bengaluru)"
669333,2023-09-05,Wells Fargo hires Ford from Credit Suisse as head of equity capital markets,"Wells Fargo hired former Credit Suisse banker Jill Ford as its head of equity capital markets, the bank said in a statement."
664899,2023-08-25,"Wells Fargo to pay $35 million penalty over excessive fees, SEC says","Wells Fargo has agreed to pay a $35 million civil penalty to settle U.S. charges that the company overcharged advisory fees, the Securities and Exchange Commission (SEC) said on Friday."
662637,2023-08-21,Wells Fargo defeats shareholder lawsuit over fake job interviews,Wells Fargo won the dismissal of a lawsuit accusing the fourth-largest U.S. bank of defrauding shareholders by touting its commitment to hiring diversity while its managers were conducting sham interviews of non-white and female job candidates.
656583,2023-08-07,Wells Fargo hires Credit Suisse veteran as head of financial sponsors,"U.S. bank Wells Fargo said on Monday Malcolm Price has joined its corporate and investment bank (CIB) as the head of financial sponsors, after 35 years at Credit Suisse."
654363,2023-08-02,Wells Fargo pledges $60 million for worker re-entry program,"Wells Fargo on Wednesday said it may commit $60 million to Concordance, a nonprofit organization that helps workers with criminal records re-enter the workforce."
653905,2023-08-01,Wells Fargo expects to pay $1.8 billion to help refill FDIC fund,Wells Fargo said on Tuesday it expects to pay $1.8 billion to help replenish a government deposit insurance fund that was drained of $16 billion this year after three banks collapsed.
653922,2023-08-01,Wells Fargo warns capital rules will prompt it to rejig balance sheet,Wells Fargo said on Tuesday that proposed U.S. capital rules could lead the bank to rejig its balance sheet.
652133,2023-07-28,Wells Fargo's firearm policies under Texas AG scrutiny,"Wells Fargo & Co's policies around the firearm industry are being probed by the Texas Attorney General's office, the company said in an emailed statement on Thursday."
650876,2023-07-25,Wells Fargo approves new $30 billion share buyback program,Wells Fargo said on Tuesday its board had authorized a new share buyback program of up to $30 billion.
646363,2023-07-14,Wells Fargo raises outlook for interest income after profit surges 57% on higher rates,"Wells Fargo raised its annual forecast for net interest income (NII) after its profit surged 57% in the second quarter, sending shares up 4% in premarket trading."
643891,2023-07-10,Wells Fargo promotes head of Native American banking to managing director,"Wells Fargo promoted Dawson Her Many Horses, head of Native American Banking, to managing director, one of the first enrolled tribal members to reach that rank at a major U.S. bank, the lender said on Monday."
630719,2023-06-13,Wells Fargo CFO expects upside in net interest income,"Wells Fargo & Co expects an upside in net interest income going ahead, Chief Financial Officer Mike Santomassimo said on Tuesday."
619002,2023-05-31,Wells Fargo CEO says there will be losses in office loan portfolio,Wells Fargo & Co's Chief Executive Officer Charlie Scharf said on Wednesday that there will be losses in the office loan space but the lender was proactively managing its portfolio.
618709,2023-05-30,"Former Wells Fargo exec settles SEC fraud charges, to pay $3 million","The former head of Wells Fargo & Co's retail bank agreed to pay a $3 million penalty to settle U.S. Securities and Exchange Commission fraud charges for misleading investors about sales practices used to inflate a performance metric, the SEC said on Tuesday."
614608,2023-05-16,Wells Fargo to pay $1 billion to settle shareholder lawsuit over recovery from scandals,Wells Fargo & Co has agreed to pay $1 billion to settle a lawsuit accusing it of defrauding shareholders about its progress in recovering from a series of scandals over its treatment of customers.
607758,2023-04-25,Wells Fargo shareholder proposal against supermajority voting structure 'too close to call',"Vote count on a shareholder proposal at Wells Fargo & Co, asking for the removal of supermajority voting requirements at the bank, is ""too close to call at this point"", according to a preliminary tally on Tuesday."
605363,2023-04-14,Wells Fargo profit rises as higher rates bolster interest income ,"Wells Fargo & Co's profit rose as it earned more from interest rate payments in the first quarter, helped by the U.S. Federal Reserve's tighter monetary policy, the lender reported Friday."
605121,2023-04-13,Wells Fargo names Saul Van Beurden as CEO for consumer banking unit,"Wells Fargo has named Saul Van Beurden as the chief executive officer of its consumer and small business banking (CSBB) unit, effective May 15, it said in a statement on Thursday. (Reporting by Siddarth S in Bengaluru; Editing by Shailesh Kuber)"
597996,2023-03-15,"Former Wells Fargo executive pleads guilty to obstructing bank examination, fined $17 mln in fake accounts scandal",The former head of Wells Fargo's retail bank has pleaded guilty to obstructing a bank examination and will pay a banking regulator a $17 million fine for her role in the bank's sweeping fake accounts scandal.
591654,2023-02-22,Wells Fargo lays off mortgage bankers - CNBC,"Wells Fargo & Co laid off hundreds of mortgage bankers this week as part of its recent strategic shift, CNBC reported on Wednesday, citing people with knowledge of the matter. In an emailed statement to Reuters, Wells Fargo said there were ""displacements"" across its home..."
587166,2023-02-07,Wells Fargo agrees to pay $300 mln to settle with shareholders over auto insurance disclosures,"Wells Fargo & Co agreed to pay $300 million to settle a shareholder lawsuit claiming the bank hid that it had pushed unnecessary insurance on auto loan customers, according to documents filed in U.S. court on Tuesday. (Reporting by Jody Godoy in Californi; Editing by Chizu..."
580230,2023-01-13,Wells Fargo profit falls on higher reserves,Wells Fargo & Co on Friday reported a decline in profit for the fourth quarter as it paid regulatory penalties and stockpiled money to prepare for soured loans against the backdrop of a weaker economy.
575093,2022-12-20,U.S. CFPB orders Wells Fargo to pay $3.7 bln in penalties for mismanagement ,"The U.S. Consumer Financial Protection Bureau (CFPB) on Tuesday ordered Wells Fargo & Co to pay a penalty of $3.7 billion, citing widespread mismanagement of auto loans, mortgages and deposit accounts. (Reporting by Manya Saini in Bengaluru; Editing by Shailesh Kuber)"
570257,2022-12-01,Wells Fargo cuts hundreds of jobs in mortgage business - Bloomberg News ,"Wells Fargo & Co has cut hundreds of jobs in its mortgage business across the country, Bloomberg News reported on Thursday citing people familiar with the bank's plans."
563134,2022-11-04,Wells Fargo under pressure from CFPB to pay over $1 bln in fine- Bloomberg News,"Wells Fargo is under pressure from the U.S. Consumer Financial Protection Bureau to pay more than $1 billion to settle a slew of investigations into ill-treatment of its customers, Bloomberg News reported on Friday, citing people familiar with the matter."
561749,2022-10-31,Wells Fargo says SEC is examining its hiring practices,"Wells Fargo & Co said on Monday that the U.S. Securities and Exchange Commission has begun investigating its hiring practices, after the Department of Justice had opened a related probe."
557095,2022-10-14,Wells Fargo profit falls on rising loan loss reserves,Wells Fargo & Co on Friday reported a decline in profit for the third quarter as the bank set aside more money in preparation for a hit from a potential economic slowdown.
556819,2022-10-13,"Wells Fargo customers reporting higher number of scams on payments platform Zelle, Senator Warren says","The rate of fraud and scams reported by Wells Fargo & Co's customers on digital payments platform Zelle was more than double when compared with other banks, U.S. Senator Elizabeth Warren said in a letter to Wells Chief Executive Charles Scharf. (Reporting by Niket Nishant..."
